별점,리뷰,날짜
4/5,"깨끗하고 좋아요.
조식 서비스도 마음에 들고요.",6달
5/5,통영에 오신다면 여기가 짱입니다. 객실도 깨끗하고 주인도 엄청 친절합니다. 여기사도 잠을 잘잤네요!!,1년
5/5,깨끗하고 위치 좋고 조식서비스도 좋고 만족합니다,1년
5/5,"출장때마다 들리는 숙소
깔끔하고 카운터 친절에 몇번가니 업그레이드도해줍니다
조식서비스 좋습니다",2년
5/5,"최고 ^통영에 더 머물 생각 없었는데 더 묵기로 // 조식도 있고 카운터분도 친절 ,, 단점은 주변이 모텔뿐 이라 오해받기 쉬울듯",2년
4/5,"250326
나름 깔끔함",1달
5/5,깨끗하고 모텔인데 조식이 좋음,2년
4/5,이 부근에서는 제일 깨끗합니다,1년
5/5,시설이 깨끗하고 청결했습니다,2년
5/5,친절하시고 깔끔하고 뷰도 좋습니당,2년
5/5,나는 작년에 2주 동안 이 호텔에 두 번 묵었습니다. 호텔 방은 매우 깨끗하고 주인 가족은 고객에게 친절합니다. 통영 호텔에 묵고 싶다면 적극 추천합니다.,1년
5/5,아늑하고 조용합니다. 그리고 가장 중요한 것은 필요할 때 필요한 모든 것이 있다는 것입니다.,1년
5/5,👍👍👍,1년
3/5,리뷰 없음,6달
5/5,리뷰 없음,1년
5/5,리뷰 없음,1년
3/5,리뷰 없음,1년
5/5,리뷰 없음,1년
4/5,리뷰 없음,2년
5/5,리뷰 없음,1년
4/5,리뷰 없음,1년
1/5,리뷰 없음,1년
