별점,리뷰,날짜
5/5,"객실, 응접실, 화장실 모두 깨끗하고 좋습니다. 무엇보다 유료로 선택한 바다 전망이 짱입니다. 해안가 절벽 위에 있는 집에서, 밖을 내다보는 느낌이에요. 내가 본 바다 뷰 중에 최고!!! 해돋이 가족 여행 이었는데, 방향이 동향이어서, 방에서 커피 한잔 하면서,  너무 편하게 일출을 즐겼네요. 단순한 바다 전망이었으면 곧 질렸을 수도 있었을텐데, 다양한 배들이 여러 방향에서 왔다 갔다 하는 걸 내려다 보고 있으니까, 너무 재밌었습니다.",3달
5/5,"여긴 주차장이 없나?
밖에 저기 운동장 같은곳에 주차하라는데 너무 추울 때나 너무 더울 때는 좀 짜증날듯합니다.
저는 추울때라 좀 그렇더라고요.
요즘 돈의 가치가 어떤지... 이 가격에 주차장이 너무 멀어요.
객실은 그럭저럭 괜찮습니다. 벽지랑 싱크대 이런거 오래된 느낌 많이 납니다.
또 바로 앞이 바다여서 뷰가 좋고 산책하기가 편합니다.
바다뷰 항구뷰 있는데 항구뷰 밤에 불빛이랑 요트들 작은 항구마을 느낌 전 좋았어요.",4달
5/5,"시설도 좋고 침실도 넓고 편안합니다.
침실과 거실모두 통유리창으로 바다전망이 환상적입니다.
조식도 너무맛있고 산책길도 너무잘 되어있어요.
다시 오고 싶은 곳입니다.",4달
5/5,한국형 콘도미니엄. 식사는 가급적 외부 식당 이용하는 것이 좋음. 대부분의 방이 Sea View. 오래된 건물이지만 아주 좋습니다.,1달
5/5,"예약한 방은 스위트 프리미어, 15층 시내 방향으로 방을 배정받았다. 바다 방향은 1박당 추가금 2만5천이라고 한다.

2박 동안 있으면서 바다와 시내를 동시에 볼수 있어서 바다 전망보다 좋았다.

통창이라 난방이 조금 약한 것을 제외한다면 모두 만족스러웠다.",2달
4/5,"오션뷰는 한산도 동향뷰 일출조망 가능
항구뷰는 통영항 서향이라 일몰이 멋집니다
리모델링 객실 항구뷰 프리미엄룸 깔끔해요
연박시 수건만 따로 제공됩니다
해안산책길 아침 햇살에 윤슬이 은백색으로 가득해요",2달
4/5,"진짜 뷰는 환상적임. 객실안에서 펼쳐지는 뷰는 아직도 잊을 수 없음. 다만 여기 리조트가 바다를 막아 만든 태생이라, 지하 주차장이 없어서 정말 불편함. 짐을 내리고 멀리 주차를 해야하는 불편함이 가장 마이너스요인임",5달
5/5,깔끔한 인테리어와 일반룸임에도 항구뷰로 너무 만족스러운 곳이네요 언제 붙었는지 모를 하얀벽에 붙은 모기는 좀 치워주시지 싶었고  하얀침대위에도 곱게 누워있는 머리카락이 좀 거슬렸지만 주차관리하시는분과 퇴실일 배송직원?? 같은분 너무 친절하셨어요 주차장이 너무 멀어 비가오는날 우산 쓰고 올라오느라 그게 단점이었고 다른거 다 만족스러웠어요 첫 통영여행인데 통영분들 너무 친절해서 집에 가기 싫네요 위치도 시내와 시장이 가까워 좋았습니다 다시 방문하고싶어요,6달
5/5,"뷰좋고~~ 숙박좋았어요~~
아직 좀 쌀쌀한대~ 중앙난방이라  난방 조절이안되어 조금 추웠네요~",2주
4/5,오래됐지만 시설이 리노베이션이 되어 깨끗하고 바다전망은 진짜 최고!  통영중앙시장과 케이블카도 근처라 위치도 좋아요,6달
5/5,"통영 뷰 맛집..
가족여행시 편안한 휴식을 제공합니다.
편의점,사우나등 이용가능한 시설 많구요..
씨뷰 최애입니다.",6달
4/5,"통영금호마리나리조트에 다녀왔습니다. Room type 스위트프리미어.
금호마리나리조트는 매우 오래된 역사를 자랑하는 리조트로 순차적으로 리모델링을 하고 있는 중입니다. Room type 중 디럭스가 붙은 건 아직 리모델링 전, 프리미어는 리모델링 완료된 방입니다. 프리미어 룸들은 고층에 자리잡고 있으니 혹시 가실 분들은 참고하시구요.
위치는 정말 좋습니다. 통영대교로 육지와 연결된 미륵도 끝자락 통영국제음악당 바로 옆 곶에 자리하고 있어서 삼면이 바다로 둘러쌓인 곳이기 때문에 모든 룸이 바다를 볼 수 있는 게 장점입니다. 개인적으로는 그냥 바다만 보이는 오션뷰 보다는 즐비하게 떠 있는 요트들도 같이 볼 수 있는 항구뷰 룸이 훨씬 더 좋네요.
다 좋은데 몇 가지 치명적인 아쉬움이 있는 건 마리나리조트의 한계라고 생각됩니다. 무엇보다 주차장이 없습니다! 리조트로 올라가는 길가에 갓길 주차를 해야하는 건 정말 치명적입니다. 너무 불편하네요. 그리고 수영장이 없습니다! 이렇게 멋진 뷰를 가진 리조트가 인피니티풀은 커녕 실내 수영장조차 없는 건 정말 아쉽기 짝이 없습니다. 근처에 좋은 해수욕장이 있는 것도 아니라서 물놀이를 할 수가 없는 건 어처구니가 없을 정도로 아쉽습니다.
통영이 나름 큰 항구도시이기 때문에 각종 배들이 쉴새없이 오가서 바다가 깨끗한 편도 아닙니다. 맑고 투명한 동해 바다까지는 아니더라도 대안으로 바다에 들어가 놀 생각이었는데 발 한번 담궈보고 바로 접었습니다. 요트 타는 정도로 만족해야겠네요.
리조트 내 편의시설, 운동시설, 사우나, 식사는 아주 만족스럽습니다. 가족 단위로 투숙하며 쉬기에는 가성비가 매우 좋은 리조트라고 생각되며 직원분들의 서비스도 굉장히 훌륭했습니다.",9달
