별점,리뷰,날짜
4/5,"2021.07.30~2021.08.01

-2박3일 거제&통영 여행
-통영에서의 숙박 장소 (7/31~8/1)
-밤 12시쯤 들어가서 씻고 잠만 자고 다음날 준비후 바로 나올 계획이어서 가장 저렴한 곳을 찾았어요 금액은 제일 저렴했지만 사진으로 봤을 때 인테리어나 그런게 너무 별로여서 잠깐 고민했지만 인테리어 구경 할 여유도 없이 그냥 바로 잘 거라서 예약했어요
-주차는 진짜 별로였어요 자리가 없어서 밖에 평행주차하고 들어갔는데 제가 댄 곳 그 자리마저 없었으면 계속 돌면서 찾아다녀야 했을듯 해요 주변이 다 모텔촌이어서 그런 거 같아요
-주차하고 들어갔는데 생각보다 너무 쾌적하고 깔끔했으며 나름 넓었어요 이불이나 인테리어가 별로일 뿐 하루 잠자기 너무 좋았습니다
-가격대비 최고! 다음에 통영가서 이렇게 잠만 잘 계획이라면 또 이용할 것 같아요 그리고 바로 앞에 엄청 큰 편의점이 있는데 거기 길고양이들을 키우시는데 새끼 고양이들 진짜 미친듯이 귀여워서 만족도가 더 올라갔어요 ㅎㅎㅎ",3년
1/5,"입실하니 실내온도17도...
35도로 올려놓고 다음날 일어나보니 24도...
전기장판은 사이즈가 작아서
돌아누우면 천국과 지옥을 오갈수 있어요
화장실 바닥은 발이 시릴정도로 춥고
이불은 언제 세탁했는지 모를만큼 지저분해요
커피포트는 찝찝해서 사용도 못해봤구요
냉장고에는 물2개 제주감귤 옥수수수염차가 있네요
남성분들 면도기 없구요 폼클랜징도 없어요
딸랑 싸구려 칫솔뿐...
샤워실엔 샴푸린스 바디워셔있어요
트윈실현금 35000원 돈아까움 여관임여관...",5년
3/5,"바다앞이라 위치는 좋내요
실내는 노후가 되어 냄새도 조금 나지만 그래도 괜찮아요  텔앞에 먹을곳 만내요 짱",2년
5/5,"다소 시설이 노후된점이 있긴 하지만 전체적으로
숙박 하기엔 좋습니다. 무엇보다 사장님께서 너무 친절합니다.통영출장 때문에 자주이용하는 업소입니다.강추!",7년
4/5,"가격 저렴하고 가격대비 빠지는거 없어요
위생도 좋고 카운터 분도
친절하시구요
욕지도 선착장도 가까워요",4년
5/5,깔끔하고 저렴해서 좋았어요,6년
4/5,"일반4만,트윈4만5천.85/100",10년
5/5,가성비 좋네요,7년
4/5,방구조가 불편함,3년
1/5,조용하고 펀안한곳,3년
3/5,그냥,6년
4/5,깨끗해요,4년
3/5,딱 가격 만큼,6년
3/5,쌈 그게 끝,6년
5/5,굿굿굿!,6년
1/5,아늑하지 않음,5년
5/5,리뷰 없음,1년
3/5,리뷰 없음,1년
5/5,리뷰 없음,2년
5/5,리뷰 없음,2년
4/5,리뷰 없음,3년
2/5,리뷰 없음,3년
3/5,리뷰 없음,3년
5/5,리뷰 없음,3년
3/5,리뷰 없음,3년
3/5,리뷰 없음,4년
4/5,리뷰 없음,5년
1/5,리뷰 없음,5년
1/5,리뷰 없음,5년
5/5,리뷰 없음,6년
3/5,리뷰 없음,6년
5/5,리뷰 없음,6년
3/5,리뷰 없음,6년
2/5,리뷰 없음,7년
1/5,리뷰 없음,7년
5/5,리뷰 없음,7년
