별점,리뷰,날짜
5/5,관광호텔인만큼 쾌적하고 객실 상태도 좋았어요.간단한 요리도 가능한 씽크대도 갖추고 있어서 편리해요.평일에 갔는데 인터넷으로는 6만원이지만 전화로 하니 5만원에 바다뷰도 가능하더군요.한층에 객실수도 적어서 시끄럽지 않아요.주차장이 협소한게 조금 불편했어요,7달
3/5,깔끔하고 프론트에서 너무 친절하게 응대해주셔서 좋앗어요.커피머신도잇어 좋앗구요.조식은 아침에늦게일어나는편이라 먹지는 안먹엇구요.안에 기본적인 로션이나 웰컴음료는따로없고 물3개만잇엇어요.에어컨은잇으나 선풍기가없어 살짝 더운거같아요.전반적으로 만족한편입니다,5년
4/5,"10층에 있는 무인 카페가 인상적입니다. 식사가 제공되지 않는 시간에 양심껏 2000원을 낸 후 음료와 과자 등을 즐길 수 있습니다.
객실도 깨끗합니다. 다만 층간소음이 다소 있습니다.",7년
3/5,룸을 평가하면 호텔?콘도?모텔?애매합니다. 주변이 숙박시설로 밀집되어 있어 조용한 편입니다만 다른 방의 물소리가 거슬릴 수 있습니다.,6년
1/5,"시설 모텔급 호텔이라고하기엔 전혀아님

오션뷰없음 주차 몬가 .,.바람불면 철이 휘청거리면서 떡어질것 같음
여긴 가격을 좀내려야할.,.느낌",4년
1/5,"노숙을 할 지언정 여기는 가지 마세요.
프론트 직원들은 더럽게 불친절하고
낡고 지저분한 시설에
욕실 환풍기며 이것 저것 고장난 것도 많고
꿉꿉한 냄새에, 한 여름에 두꺼운 침구 준비해주는
센스까지, 암튼 최악입니다",7년
4/5,"시설은 일반적이지만, 방이 넓어 편하구요
직원분들의 배려와 친절이 다른 부족함을 메꾸어주네요",5년
5/5,간판'르' 불이 들어오지않아 걱정했으나 깔끔하고 수건도많고 칫솔도있어서 좋습니다.,4년
5/5,"편안하고 침구가 깨끗합니다
간단한 취사도 가능해 가족들이랑 오기 좋았어요",4년
4/5,"수압이 좋았고 청결한 상태였다
이불 커버가  말끔하면 더 나은 이미지 였을 것 같다",6년
5/5,깜놀 단체숙소 인데  화장실 3개 샤워시설 2개  이불도 너무 깨끗하고 가성비 짱~^^~,1년
5/5,"쾌적하고 경치좋고 특히 직원분들 께서 너무 친절하시고 쎈스가 너무좋으시더라구요
통영가시면 꼭 주무세요",5년
2/5,연식이 되다보니 냄새가 나기 시작하는 듯. 유람선도 안되니 불경기 직격인 탓인가 관리가...,3년
5/5,1충에 커피머신이 무료이고 통영해양스포츠센터와 가까워서 좋습니다.,3년
3/5,창문밖 뷰는 좋았지만 호텔이라기엔 많이부족하고 모텔에 가까운 객실은 아쉬웠다,6년
4/5,가성비 좋은 숙소입니다 방도 넓고 화장실로 넓고 전망도 좋습니다,4년
5/5,"너무좋은곳.사장님.친절굳.
렌트카나.관광차도.갈만한.곳
깨끗하고.담배냄새안남.",7년
4/5,지어진지는 좀 된것같지만 내부는 깨끗하고 직원들 서비스도 좋았음 가성비 괜찮은 숙소임,5년
4/5,"친절합니다, 오래되었지만 청결 합니나. 바닷가 옆이라 산책하기에 아주 좋습니다",4년
5/5,사장님 친절하시고 시설매우만족,1년
5/5,직원분들 고객응대및 룸 청결상태 매우좋음,4년
5/5,깨끗하고 쓰기좋고 친절하십니다 짱이에여♥,6년
4/5,중문이없어요... 환기는 굿 ㅎㅎ,3년
2/5,가격대비 요금이 터무니 없이 비싸다,2년
1/5,이건 호텔이 아니라 오래된 여관입니다,6년
5/5,깨끗하고 조용하고 펀안함,3년
3/5,가족끼리오면 좋아요..^^,6년
3/5,그냥 뭐 카운터 친절,6년
5/5,넓어요,1년
4/5,보통의 여행지 호텔!,2년
4/5,가격대비 굿,6년
2/5,침대없음. .,5년
4/5,깔끔합니다,3년
4/5,통영 숙소,7년
5/5,"스파르타식 조건을 갖춘 작고 아늑한 객실이지만, 아름다운 전망을 감상할 수 있는 객실도 있습니다 🦀⛴😍…",2년
5/5,숙박하기 좋은 곳이에요.직원들의 환대가 좋았어요.,6년
5/5,가격과 품질의 완벽한 조화!!! 한국 최고,4년
3/5,리뷰 없음,4달
4/5,리뷰 없음,2년
4/5,리뷰 없음,2년
3/5,리뷰 없음,3년
5/5,리뷰 없음,1년
5/5,리뷰 없음,1년
3/5,리뷰 없음,2년
4/5,리뷰 없음,2년
5/5,리뷰 없음,3년
5/5,리뷰 없음,3년
4/5,리뷰 없음,3년
4/5,리뷰 없음,3년
4/5,리뷰 없음,4년
4/5,리뷰 없음,4년
5/5,리뷰 없음,4년
4/5,리뷰 없음,5년
3/5,리뷰 없음,5년
4/5,리뷰 없음,5년
5/5,리뷰 없음,5년
5/5,리뷰 없음,5년
5/5,리뷰 없음,5년
4/5,리뷰 없음,5년
3/5,리뷰 없음,5년
5/5,리뷰 없음,5년
4/5,리뷰 없음,5년
2/5,리뷰 없음,5년
3/5,리뷰 없음,5년
4/5,리뷰 없음,5년
2/5,리뷰 없음,6년
3/5,리뷰 없음,6년
5/5,리뷰 없음,6년
3/5,리뷰 없음,6년
4/5,리뷰 없음,6년
4/5,리뷰 없음,6년
5/5,리뷰 없음,6년
5/5,리뷰 없음,6년
5/5,리뷰 없음,6년
3/5,리뷰 없음,6년
3/5,리뷰 없음,6년
4/5,리뷰 없음,6년
4/5,리뷰 없음,6년
1/5,리뷰 없음,6년
4/5,리뷰 없음,7년
