별점,리뷰,날짜
5/5,"연휴때라서 2인 8만원이긴 했는데
위치나 교통편 너무나 좋았어요
후기가 넘 안좋아서 여행가기전까지도
취소해야하나 했는데 후기만 믿고
취소했음 큰일날뻔ㅋㅋ
입실시간보다 빨리도착했는데
주인아주머니께서 가방도 맡아주시고
입실시간에 가니 손수 가방도 방에 올려다
주셨어요 방은 사진그대로에요
정말 더도말고 덜도 말고 딱 그대로
근데 생각보다 넓었고 침대이불도 호텔 이불
이고,샤워가운도 있어서 모텔의 고급버전?
암튼 위치나 객실이나 넘넘 맘에들었어요
덕분에 재밌게 여행 하고 왔어요",6년
4/5,"주인아주머니께 담배냄새 때문에 방을 보고싶다고 하니 처음에 귀찮으신지.. 한숨을 푹 쉬었는데 그래도 나름 신경써주셨습니다.
주중에 작은방 4만원 현금으로 1박 묵었습니다. 화장실도 매우 깨끗하고 시설도 괜찮은데 방에 있는 스피커는 고장난건지 장식용으로 쓸 수가 없었어요. 주차장도 넓게 잘 되어 있습니다.",8년
3/5,"통영시내 중앙시장 주변에 있는 모텔인데 좀오래된 모텔인거 같습니다. 그런데 이주변모텔중 이모텔만이 유일하게 대형차를 주차할수 있네요.
거북선이 있는 관광지라그런지 승용차이상의 차량을 주차하기가 힘든데 이곳만이 주차가능합니다.
숙박비 주변과 비숫하네요.",5년
5/5,"신식 시설은 아니었지만 깔끔했고,가까이에 관광지와 음식점들로 편안하게 즐기고 쉬었던곳…친절하신 사장님…",2년
1/5,남자3명사내아이1명 1박에 11만원 진짜 대단하지않는가요 휴~~~완전 바가지,7년
1/5,최악..여사장 진짜 싸가지그자체네요..통영의  이미지 다깎아먹는듯요 통영다신오고싶지않은곳이네요,7년
5/5,"가격대비  깔끔합니다
주인분들도  친절하시구요",4년
5/5,"2, 3, 4층 모두 숙박을 해보았답니다.
2층이 좋아요 ~~",4년
4/5,피서철인데도 바가지없이 이틀 편히쉰곳입니다,2년
4/5,깨끗하고  인테리어도 잘되었네요,3년
