별점,리뷰,날짜
1/5,청소상태가 매우불량하네요. 수건에서 하얀가루가 나오네요. 샤워하고 나와서 다시 샤워함. 더러운거 좋아하시는분 강추,7년
5/5,사장님께서 엄청 친절하고 당골들에게는 늦께 까지 잠을자도 깨우지 않은며.방 또한 널어 좋은것 같습니다... 사장님  편안히 쉬다가 갑니다...,4년
3/5,모텔은 깨끗한데 주위 환경이 좀 유흥가 주위에 아파트 있고 어린이집도 있는거 보고 깜짝 놀랐답니다 유흥가는 좀 멀리 해 주셨으면 합니다,6년
3/5,조금오래되었지만 쾌적하고 방도 크고 1호라인에는 투윈베드가 있어서 만족하다,8년
5/5,방이커서 마음에들어요,6년
5/5,방이크고 깨끝함,4년
3/5,합리적인 가격으로 모든 시설을 갖춘 호텔,5년
5/5,편안한,4년
5/5,좋은,6년
4/5,편해요...😀…,7년
5/5,리뷰 없음,4년
4/5,리뷰 없음,4년
5/5,리뷰 없음,4년
3/5,리뷰 없음,4년
3/5,리뷰 없음,6년
3/5,리뷰 없음,6년
3/5,리뷰 없음,6년
4/5,리뷰 없음,6년
5/5,리뷰 없음,6년
4/5,리뷰 없음,6년
2/5,리뷰 없음,6년
1/5,리뷰 없음,7년
