별점,리뷰,날짜
4/5,"조금 더 큰방으로 오션뷰인것이 메리트.
건물은 아주 오래됨.
옛날에 좋은 모텔.
기본방 오션뷰 아니라면 생각좀 해보시길.
폰충전기 구비되어 있음.
특실인데 욕조가 없어서 매우 아쉬웠음.
콘센트 많아서 좋았음.
방음이 아주 잘되는 편은 아님.
(바깥소음은 방음이 되는데 옆방소리 큰소리는 간혹 들림)
아 냉장고 진심 작음. 화장품 냉장고보다 작음. 물 500짜리 문에 세병 안에 세병 넣으면 끝. 모통 조그만 과일정도는 넣을수 잇는 미닌데 여긴 초특급 미닌가봄.
현관 열쇠로 잠금. 이건 장점일수도 아닐수도.
위치가 통영 입구쪽이라 루지나 관광하러 가려면 20분 정도 더 안으로 들어가야함.

연인끼리 비추.
가족이나 출장 가성비 ok

일회칫솔 폼클 청결제 러브띵 팩으로 주고
샴푸 린스 바디 비누 치약 구비되어 있음.

에어컨이 너무 극단적임. 춥거나 덥거나 😭😅",5년
4/5,"죽림해안도로변에 위치해있어 다수의 객실이 오션뷰.
객실도 크고 깔끔한편",3년
3/5,"넓고 좋앗는데 치솔을 구입해야해요
그리고 일찍나올때는 엘리베이터까지 자동으로 불이안들어와서 손전등을켜야해요 깜깜해서요",7년
5/5,엄청 넓어요~! 여행 첫날 투숙했는데 욕조까지 있네요 ㅋㅋ 가성비 최고👍…,3년
4/5,시설은 그닥그닥이지만 방에서 보이는 바닷가 풍경이 대신해 주는곳,5년
3/5,10년 정도 된 느낌의 모텔이다. 주인은 친절함.,7년
3/5,"시설은 보통 모텔입니다.
기대는 하지 마시길~
평균이하입니다.",6년
5/5,나름 가성비 굿...통영의 저렴하고 깨끗한 모텔...,6년
4/5,바다 가깝고 출장용으론 강추 연인끼린 비추,7년
5/5,깔끔하고 뷰가 좋아요,7년
5/5,오션뷰인데 사만원,6년
5/5,가성비갑이에요,3년
5/5,"가성비 짱
최고",5년
4/5,숙소 남자 셋..,1년
5/5,시설깔끔해오ㅡ,6년
3.7/5,위치는 훌륭했습니다. 방은 깨끗했습니다. 하지만 안내 데스크의 여성분은 그다지 친절하지 않았습니다.,1년
4/5,가격도 저렴하고 버스터미널까지 걸어서 갈 수 있어요. 바다 전망도!,6년
5/5,좋은,7년
3/5,리뷰 없음,7달
5/5,리뷰 없음,10달
4/5,리뷰 없음,4년
3/5,리뷰 없음,4년
3/5,리뷰 없음,5년
4/5,리뷰 없음,5년
3/5,리뷰 없음,5년
3/5,리뷰 없음,5년
1/5,리뷰 없음,6년
5/5,리뷰 없음,6년
4/5,리뷰 없음,6년
5/5,리뷰 없음,7년
