별점,리뷰,날짜
3/5,"일단 깨끗해서 좋았음 온돌을 좋아 하지만 싱글 침대 두개라서 편함 화장실은 깨끗하며 초반에 온수가 잘 안나와서 고생 나중에는 잘 나옴
아침 조식은 계란후라이(본인) 만들어 먹고 토스트도
본인이 만들어 먹어야 함 냉장고 우유랑 주스 있음
사람 많이 몰리면 복잡할거 같음 기본 계란후라이 미리
만들어 저 있으면 사람 붐빌때 시간 절약 할수 있을건데
한강라면 기계 있는데 라면은 없는거 같음 주차는 옛날 타워 주차장 있어서 작은차는(승용차) 주차 가능 주차관련 예약시 미리 문의 후 예약 진행 하세요
그래도 다시 방문 예정",2달
2/5,"청결도가 떨어지고 곰팡이 냄새나요. 빗은 먼지가득입니다. 위치는 굉장히 편합니다.
조식은 식빵과 잼과 달걀, 커피, 씨리얼, 우유 있습니다. 햄, 치즈 없어요.",3달
3/5,"침구는 좋았으나, 방이 너무 건조하고 더웠습니다
그리고 디테일이 브라운도트에 맞지않게 좀 떨어졌어요
각티슈는 동네 다* 선전물이고, 테이블위에 콘*이 올려져있는 딱 동네 모텔정도의 수준. 그게 좀 많이 아쉽습니다",3달
4/5,"시설이 깔끔하고 주변에 식당 등이 많아 위치도 좋아요. 바닷가 주변으로 산책로가 잘 마련되어
있어요. 1박 6만원에 간단한 조식(시리얼, 커피, 계란후라이 정도)이 셀프로 가능하다고 해요.
이번에는 한산대첩축제가 있어서 볼 거리도 있어 좋았어요.",9달
5/5,"통영 여행중 급하게 검색해서 예약.
생각보다 깨끗한 객실상태에 놀랐어요.
발렛까지 직접 해주시는 사장님.
근처에 중앙시장,서호시장이 가까워 구경하기도 좋고 바닷가 옆이라 산책하기도 좋아요.",1년
1/5,"객실 청소불량이 아니라 묵은먼지가 풀풀 날리고 침대헤드위 벽쪽에 거미줄이 장식처럼 붙어있네요
방을 바꿔달라고 하니 담당자 말이 거미줄을 치워주면 되잖아요 라고 하네요
동네 모텔보다 수준이하인 곳은 피하는게 상책입니다",6달
5/5,"사장님 친절하시고 발렛주차도 해주심.
(근처에 주차 거의 불가능한데 이곳은 주차 가능해서 좋음)
* 조식 제공(7시~9시) (7층 루프탑)
- 시리얼. 토스토 만들어 먹을수 있음.
- 우유, 음료 제공
- 라면 끓여드실분들은 본인이 사서 가져가면 됨.
* 7층 루프탑에서 바다 전망 보면서 흡연도 가능.
* 12시 체크아웃도 좋아요.
- 오전중으로 중앙시장, 서피랑마을 전부 산책가능.
* 넷플릭스 밤새도록 공짜 시청가능.",1년
5/5,"저렴하면 그저그렇다는 편견을 이곳에서 깬거같네요.
조용해서 좋았고, 근처가 동피랑이여서 더 좋았던거같아요.
숙소 깨끗했고, 따뜻한물도 엄청 잘나와서 비오고 추웠는데 좋았습니다.
전기장판이 매트에 깔려있어 따뜻하게 잤네요",1년
4/5,방은 조금 작은듯 하지만 둘이 지내기엔 괜찮고 깔끔합니다. 위치가 젤 좋은데 중앙시장에서 회먹기 좋고 아침엔 6-7분 걸어가서 서호시장에서 아침먹기 좋아요. 루프탑에서 간단한 조식도 제공하고 저녁엔 맥주 한잔하기도 좋구요.,2년
1/5,"최악...최악...
객실에서. 지하에 습기차면 나는 냄새 퀴퀴한 귀곡산장
객실은 넘낡아서..정말 싫었고..사장은 무슨 조폭출신인지..인상은..불친절하고
주차는 허락없이 길에다 차 주차시키고
아침식사는 최악중에 취악..
다른 모텔가서 좀 배워라..
거격은 엄청 비싸고...정말 근래에 뭌은 모텔중에
최악질..",1년
2/5,"여기서 한 3번정도 묵었던 곳입니다
처음 두번은 넘 깨끗했고 루프탑에서 커피한잔 하기도 넘 조았구 아침에 간단하게 조식 먹기도 넘 좋았구효~
그런데 마지막에 묵었던 날은 객실의 청결도가 갑자기 떨어져서 실망입니다 특히 침대 시트.... ㅡㅡ",2년
5/5,깔끔하고 좋습니다 특히 이모님이 매우 친절하시네요 주변에 맛집도 많고 중앙시장이 가깝습니다,9달
5/5,"야놀자 앱에서 저렴하게 예약했는데 가성비 대비 아주 좋습니다.. 모텔 분위기지만 객실과 화장실이 청소도 잘 돼있고 깨끗합니다.. 조식도 제공하는데 식빵+딸기잼, 시리얼, 달걀후라이, 우유, 쥬스 뿐이지만 간식(?)으로 먹을만 합니다.. 호캉스가 아니라면 숙박료를 아끼고 먹는데 투자하기엔 여기가 딱입니다.. 다만 주차공간이 좁아 길가에 주차해야 되지만 친절하게 안내해 줍니다",5년
3/5,침구도 깨끗하고 전체적으로 만족했지만 아침 일찍부터 청소하는 소리때문에 잠을 잘수가 없었어요. 뭔가 좀 빨리 나가달라는 압박처럼 느껴졌습니다. 숙취를 안고 아침 일찍 나왔네요.,2년
