별점,리뷰,날짜
3/5,"위치는 좋음
오래된 모텔
바다뷰는 창을 통해 보임
그러나 잠만 잘판이면 뒷골목 새 모텔이 더 좋음 어차피 밤바다는 보기 어려우니...",8달
3/5,모텔 바로앞 에 바다 뷰가 있습니다 운동하기도 괜찮고요 침대 두 개방  1 박에 55000원 합니다,1년
5/5,"대박~~야놀자로 저렴한 곳 찾다가 예약했는데 가격대비 완전좋고 깨끗하고 사장님 엄청 친절하십니다.
추천~!!!!",2년
5/5,가격대비 좋았어요. 바닷가 뷰도 좋았으며 청소도 시트도 모두 만족합니다.,6년
5/5,"통영죽림지구에서 젤 깨끗하고
여사장님께서 엄청 친절합니다.
통여가면 꼭 들려보세요.",6년
4/5,제가 작은방 경치가 좋았어요 조용하고 시설도 만족했어요,5년
4/5,호텔 나우에서 예약해서 싸게 편하게 묵었습니다.오션뷰입니다.ㅎㅎㅎ,6년
2/5,청결도나시설이나 별로 추천하고싶지안군요,6년
4/5,넓고 적당히쌉니다 최신식 모텔은 아니지만 괜찮아요,5년
5/5,"너무 친절하시고, 청결과 편리는 기본이네요. 감사했습니다..",2년
