별점,리뷰,날짜
5/5,"바다 전망 걕실은 통영의 아름다운 바다 풍경을 볼 수 있다. 발코니도 있어 유리창 너머가 아닌 장애물 없이 다도해의 풍경을 볼 수 있다. 하롱베이와는 차원이 다른 수많은 섬들과 어우러진 남해 바다의 아름다운 풍경은 볼 때마다 감탄이 절로 나온다. 객실에 욕조가 있어 반신욕을 할 수 있다. 그리고 넷플릭스와 디즈니 등 유료 OTT를 무료로 즐길 수 있다. 더블룸은 슈퍼싱글침대 두 개 크기인 듯 넓고 편안했다. 세면대가 욕실 밖에 배치되어 편했다. 아쉬운 점은 냉수와 온수 수도꼭지가 따로 설치되었다. 이쁘긴 하지만 살짝 불편하긴 하다. 그래도 그 외 모든 것이 다 좋다. 1층 식당 전망도 넘 좋고  조식시간에 손님이 많든 적든 직원들이 여러 명 대기해  있는 모습도 인상적이었다.
발코니에 펜스가 유리였다면 더 좋았을 것 같다는 생각도 든다.
마지막으로 스마트폰 충전기가 없어 프론트에 가서 대여 요청했는데 대여 불가라고 해서 황당했다. 프론트에 맡겨서 충전하라는데 내 분신같은 스마트폰을 맡길 수 없다고 하니 편의점에서 살 수 있다고 했다. 그 점이 이해가 안 됐지만 그래도 호텔 방침이라면 존중해줘야 한다고 생각했기에 기분이 나쁘거나 하진 않았다. 스탠포드호텔 갈 땐 충전기 챙겨가는 걸로.ㅋ",3달
5/5,"전망좋고 깨끗하고 직원분들 친절하시고 좋았습니다.

호텔 바로 앞 산책길이 잘 되어있어 산책하기 좋습니다.

인피니티풀도 바다경치 즐기면서 여유를 즐기기 좋습니다. 온수풀도 있어서 노천탕 느낌으로 지지기 좋습니다.",4달
5/5,"무조건좋은뷰 ㅡ행복하네요
사우나도 좋아여
해수탕",2주
5/5,"통영 미륵도 관광특구에 있고 바다 전망이 훌륭합니다. 호텔과 리조트로 구분 운영, 호텔 2박했는데 룸 관리도 깔끔하고 1층 식당도 괜찮네요. 한산도 쪽 바다 전망이 정말 좋고 계단으로 바닷가 산책로로 연결되어  있어 조용히 섬 둘레길 걷기도 좋습니다. 1층 식당 밖으로 아늑한 소파 의자도 있는데 커피 한잔 들고 바다보며 멍때리는 여유를 즐길수 있는 장소일 듯합니다. 19층인가 인피니티워터풀이 있다는데 가보진 못했지만 멋있을 것 같습니다.",10달
5/5,"깨끗하고 직원도 친절하고 좋았으나 수도꽂지, 사워꽂지가 구식이라 불편함",2주
5/5,"식당에서 조금거리있지만. 오션뷰좋아요
대리해서오면 10분정도 걸리는거같아요",2달
4/5,"어느 객실이든 바다뷰 가능.
깔끔 쾌적함. 인피니티풀은 이름과 달리 매우 얕고 협소함. 그냥 셀카 한장 남길 정도. 수영장 별도 과금(유료) 참고.",9달
5/5,오션뷰 전망도 멋지고 부대시설도 적당하고 룸 컨디션도 좋아서 가족여행할 때 이용하면 좋은 숙소입니다. 테라스 의자 욕실 레버 등 날고 파손된 건 수시로 치해서 고쳐 놓으면 좋지 않을까 싶네요,1년
4/5,호텔이랑 리조트 2가지 타입이 있는데 저희는 호텔로 숙박했습니다. 2방향으로 뷰가있고 발코니에서 전망을 즐길 수 있었습니다. 남해 앞바다의 일출은 정말 잊지 못할 것 같네요. 식사나 다른 편의 시설은 이용하지 못했지만 깨끗하고 넓은 방에 너무 만족스러운 경험입니다.||근처에 식당이 많지는 않지만 걸어서 포장할 수 있었습니다. 차가 없으면 불편할 수 있을 것 같네요.||호텔 옆에 통영음악당이 있는데 다음에는 음악회도 같이 즐기고 싶습니다.||마지막으로 해안길이 호텔에 바로 연결되어 있어서 산책하기에도 좋습니다,1년
4/5,"발코니에서 보는 일출이 멋지다.  침대도 괜찮고 객실 크기도 크다. 얼음 서비스는 않되고 물도 하루에 두병만 줌 하지만 지하1층에 편의점 있음. 루프탑 수영장, 지하1층 해수사우나 유료이용, 피티니스 무료, 해안산책로가 잘 되어있고 음악도 나옴 아침저녁으로 조용히 산책하기 좋음…. 식당중 2층 이자카야오키나와 음식은 비추 특히 반다찌메뉴는 불만족. 1층 베이커리카페 빙수 맛있고 아침조식에서 꼬리곰탕이 괜찮았음 . 층간소음이 심하고 특히 옆방소음도 있으니 체크인시 방 배정을 잘 받아야함 바다뷰는 수시로 배들이 왔다 갔다함.  얼리체크인 유료.
옆에 통영국제음악당이 있어 공연료도 할인되고 좋음
화장실과 세면대 주변 곰팡이는 제거바람. 가격대비 좋은 호텔 4.3",8달
