별점,리뷰,날짜
5/5,"스텐다드룸 2인실, 최저가 위 등급 가격. 평일 예약. 숙박앱 이용.

PC, 50인치TV, 에어컨, 드라이 냉장고, 탁자, 모든 객실 금연구역,  더블베드, 타올4장 치약 치솔 면도기 등, 비번없는 객실번호 ssd  wifi, 깨끗한 인테리어가 좋다.

하지만 주차공간 협소, 2층에서 체크인.아웃, 어둠 침침한 복도, 내 취향에 부적합한 객실 조명을 모두 켜도 부족한 조도. 비데 없는 변기. 대리석 방바닥으로 실내 온도는 높아도 바닥은 차거움.(여름엔 강점)

근처는 통영의 볼거리가 승용차로 15분 내외 접근 가능한 접근성. 또 숙박 업소 단지로 구성되어있다. 먹을 수 있는 맛집도 즐비하다. 저렴한 6500원 원조 충무김밥  , 그날 재료가 소진되면 문닫는9,000원의 4.67별점 해물 칼국수집, 20,000원대 이상 해물재료 비빔밥, 2인 70,000에 바다 내음으로 그득 찬 화려한 밥상까지. 아무튼 숙박 장소는 좋다.",1달
4/5,"통영 그래이호텔은 사장님이 친절하시고 매우 깨끗했으며 가격도 매우 저렴함
특이사항은 여객터미널 서호 재래시장 있어서 편리함",3주
5/5,섬 가실분들이라면 바로 앞이 통영항이라 위치좋고 서호시장쪽도 가까워요 ott도 되니 이용하기 좋습니다 그리고 기본 음료 과자들도 구비되어있어서 좋음요,4달
5/5,"거제통영여행중 묵은 숙소 후기~

일단 첨에 딱 들어갔을때 전체적으로 인테리어부터
방이랑 화장실이 깔끔하고 청결했고
어메니티도 다 구비되어있어서 굿굿
방은 생각보다 좀 좁았지만 하룻밤 지내는데 문제 노노였음

사장님 친절하시고
방에도 물론 기본적인 생수 음료 있었지만
카운터있는 층에 생수와 캔음료 내려먹는 커피
글구 간식도 구비되어있어요 다음날 일어나서
조식도 간단히 먹었습니다 잘 쉬다갑니다!!",9달
5/5,"너무 잘 쉬고갑니다. 오랜만의 여행인데 저희딸이 최최최최고 라고 했어요. 군더더기없는 깔끔한 객실과 정갈한 조식메뉴들 사장님의 친절한 웃음과 서비스 모든게 좋았습니다.
감사합니다^-^",1년
5/5,"숙소 컨디션, 가격 모두 최상에 간단한 조식까지 뭐하나 빠질게 없음. 무엇보다 숙소를 운영하는 사장님 내외분은 천상계 친절함! 통영여행 오심 숙소는 무조건 여깁니다!",1년
5/5,"사장님내외분....최고
객실 최고...
아침식사...도 넘 좋왔습니다..
사실 전날 브라운도트 모텔에서 1박 했는데..
방에서 지하 습기차면 나는 냄새...
대형바퀴벌레 1마리...그리고.방이 너무 낡아서..
암 걸리는 줄 알았구요..사장은 무슨 조폭출신인줄..
아침식사는 차라리 안하는게 나을정도의  개판...

그러다 아고다 통해서리 예약하고 들어왔는데..
난 지옥에서 천국오는기분...지인들께 강력추천..
화룡점점..아침식사...
잘 쉬고 갑니다..감사합니다..사장님...",1년
5/5,"깨끗하고 좋아요~ 간단한 조식도 제공하네요.
입구에 음료와 커피 간단한 과자 제공합니다",1년
4/5,"통영여행갓다가 여기어때 급하게 깔아서 대충 근처에 보고 들어감. 이주변이 관광지라 그런지  죄다 모텔&호텔촌임. 사진으로 방 디자인보고 직전예약으로 5000원 할인받아서 45000원에 투숙.
방은 작았지만 있을건 기본 있고.미니멀하게 아기자기함.방이 작으니 좀 동선이 않좋지만. 티비가55인치인데 65로 보이는착시현상.ㅋㅋㅋ
특히 세면대 수압 짱!! 씻을맛나는..모텔 이용해본중에 물빨최고!!콰콸콸콸~~~진짜개운!!
대신 샤워기 수압은 약했음.
어매니티 좋앗음.최고급정도임.다 사용은 안하지만 뭐 다 들어있는듯.냉장고엔 생수3병..프렌치커피믹스2개 타먹고 녹차티백먹고.. 뭐 시켜먹을라다가 좀 답답하고 좁아서 밖에나가서 충무김밥 먹음.
뷰는 창문에서 바다가 살짝보임.
욕실 샴푸린스바디도 업소용 코엔자임@10 꺼 이긴하지만 샴푸 부드럽고 질 좋음.개인적으로 케라시를 싫어함.ㅋ조식은 있는지고 몰라서 늦게인나기도하고..사용안함.
체크아웃 시건 거의 임박하게 나옴.
잘 쉬다가 옴.
경기북부쪽에 살아서 이제 갈일은 없겟지만 다음에 간다면 다른데도 경험하고 싶음 ㅋㅋㅋ",3년
4/5,통영여행 후기가 좋아서 데일리호텔사이트에서 예약했어. 리모델링해서 깔끔하고 새거느낌나는데 옛날 모텔냄새거 복도에서 나더라구요. 방 환기되라고 열어놓으셨다는 말씀에 배려 좋고요 내일 조식이 있다니 먹고 후기 또올라겠습니다. 주차는 뒷줄은 키안맡겨도되고 앞줄은 키를 맡겨요.,6년
3/5,단체손님들로 많이 시끄러웠고 입실시간이 청스로인해 늦어졌네요. 그 외 방은 깨끗하고 욕실도 깔끔합니다.,2년
5/5,방크기는 작지만 침대 쿠션좋고 간단하지만 조식도 좋았어요 가성비 만족해요,4년
4/5,친절한 주인^^ 가성비라고 하기에는 거리가 있고 통영항 바로 인접이라 추천. 더 바라지는 마세요~,2년
5/5,사장님이 너무 친절하셔서 출장기간동안 두달정도 계약완료 ^^,4년
3/5,"명칭만 호텔
리모델링 한듯하나 별루
잠만자기 좋은곳",2년
4/5,"매트의 온도  기능없음
실내온도 조절 아무리해도 안오름",2년
5/5,지금부터...통영숙소는 여기입니다...진짜 👍,1년
4/5,"작으마한 텔이내요
객실이 좀작으나 편해 보이내요",3년
5/5,방 깨끗하고 친절하셔서 너무 기분좋게 자고갑니다,5년
5/5,여객터미널과 시장이 가깝고 깨끗합니다,2년
4/5,깨끗하고 깔금하고 괜찮아요 조식서비스도 있고요,5년
5/5,숙소내부가 깨끗하고 친절합니다,3년
5/5,아무 문제 없고 괜찮습니다.,2년
1/5,사진에 속아서 갔다 두번 가고 싶지는 않다,3년
4/5,익산 최고의 호텔,3년
5/5,사장님 친절함,1년
5/5,깔끔하고 좋았어요,4년
2/5,그닥,1년
2/5,좁음. 그냥 하루자기 나쁘지 않은곳,4년
5/5,섬을 방문할 계획이라면 머물기 좋은 곳입니다. 페리 바로 옆에 있고 매우 깨끗하며 직원들도 친절합니다. 가성비가 아주 좋습니다. 리셉션은 2층에 있습니다.,1년
5/5,믿을 수 없을 만큼 친절한 사장님과 완벽한 청소! 로비에서 손님들을 위한 스낵을 제공합니다. 다양한 현지 음식을 즐길 수 있는 한산 지역 동피랑과의 좋은 위치!  매우 은혜로운 아침 식사! 5성급 호텔처럼 완벽한 서비스! 소유자 덕분에 소유자의 사고 방식을 존중합니다!,5달
5/5,친절하고 깨끗하며 깔끔합니다. 주차장에 전기 자동차 충전소가 있습니다. 토스트와 시리얼 같은 간단한 아침 식사가 제공됩니다.,1년
5/5,리뷰 없음,1년
5/5,리뷰 없음,1년
5/5,리뷰 없음,2년
4/5,리뷰 없음,2년
4/5,리뷰 없음,3년
5/5,리뷰 없음,3년
5/5,리뷰 없음,3년
5/5,리뷰 없음,3년
3/5,리뷰 없음,4년
3/5,리뷰 없음,4년
4/5,리뷰 없음,4년
4/5,리뷰 없음,4년
5/5,리뷰 없음,5년
5/5,리뷰 없음,5년
