별점,리뷰,날짜
1/5,"장기로 투숙중인데 청소 상태는 영~
세면대 비누는 물론이고  바디 워시는 빈 통임(물 조금 넣어서 사용) 왜 미리 교체(추가) 하지 않는지~~
복용중인 약을 깨끗히 청소해  주는 자상함은 덤 입니다
서비스는 꽝 입니다",4년
5/5,"욕조 없어서 사이즈가 좀 작아서
옆건물 공사로 주차장에 차가..... 먼지로...
남어지 사장님 서비스 좋고 시설 깨끗함.",3년
3/5,가격대비 별루에요 침대도 다 부셔질려구 화장실 환풍기도 고장  꾸리한 냄새도 나고 ㅠ,3년
5/5,객실이 깨끗하고 친절해서 좋았어요,7년
1/5,예약했을때 봤던 사진이랑 많이 틀렸어요 화장실문이없다는게 정말불편했습니다,6년
4/5,나름 깔끔함  근데 어린애만한 인형을두고나왔는데 분실물 없다함,6년
1/5,제대로 된 차광막도 없음...,2년
5/5,시설.청결 등 가성비가 아주좋다.,6년
5/5,저렴하게 통영 여행시 이용가능한 모텔,3년
1/5,싸구려모텔 여인숙 바로윗단계 가격도 ...,5년
5/5,깔끔하고 주차하기 괜찮음.,8년
3/5,칫솔 면도기 없음,7년
1/5,아이비는 치즈랑,6년
3/5,보통,6년
1/5,장여관. 그저그래여,4년
1/5,싫어요,5년
2/5,리뷰 없음,2년
5/5,리뷰 없음,3년
3/5,리뷰 없음,3년
5/5,리뷰 없음,4년
4/5,리뷰 없음,5년
4/5,리뷰 없음,5년
3/5,리뷰 없음,5년
5/5,리뷰 없음,5년
3/5,리뷰 없음,6년
3/5,리뷰 없음,6년
2/5,리뷰 없음,6년
4/5,리뷰 없음,6년
3/5,리뷰 없음,7년
2/5,리뷰 없음,7년
4/5,리뷰 없음,7년
4/5,리뷰 없음,8년
