별점,리뷰,날짜
5/5,한산대첩 기간이라 객실에서 불꽃놀이와 전망좋은 동양의 나폴리항을 조망하며 대체로 깨끗한 객실관리가 잘되어있음 서비스도양호함,9달
5/5,"앞쪽 바다뷰도 멋지고, 주변 상권도 좋습니다.
사장님 친절하시고^^ 멋진1박 입니다.",10달
1/5,"날이 저물것같아 일찍 숙소를 잡는다고 도로옆에 있기에 들어갔습니다. 주차장에 주차를 할려니 좁아서 애를 쓰는데 주인께서 나와서 주차를 해 주었습니다.
하룻밤 숙박비가 얼마냐고 물으니 6만원인데 5만원 해준다기에 둘이서 하루를 묵기로하였습니다.
다음날 바로 뒷편 모텔에 가서 하루쉴려고 숙박비를 물어보니 두명이서 3만원이라고 합니다. 시설도 차이가 없는데  바가지를 쓴것같아 씁쓸합니다.",6년
1/5,난방은 여섯시 이후라고하고 주차장에 차량주차하니 차랑키를 보관하라고하더니 나중에보니 도로에 노상주차했네요,3년
3/5,바닷쪽 방은 전망이 좋으나 시설이 예전 여관 수준이고 가격이 높음,6년
2/5,7만원 가격에 못함  그 가격이면 요즘 모텔로 ...옛 인테리어,3년
4/5,숙소는 대체로 만족 물이 깨끗함.,6년
3/5,"냄새가 나서 불편했고
이상하게 엔진소음이
심해서 불편했음",4년
3/5,"실내 난방 미흠,  깨끗함 조용",3년
3/5,깔끔하고 한쪽으론 오션뷰를 가진 옛날 모텔,4년
