별점,리뷰,날짜
4/5,"가성비 좋아요. 아이들 합숙했는데 저렴한 가격에 잘 묵었어요. 오래된 집기가 눈에 띄었지만 아이들은 잘 지냈다네요. 식당도 인심좋게 반찬 해주시고 좋았다고..
조금짜다는 평이 있습니다.",5년
5/5,가격 대비 방도 넓고 시설도 깔끔해서 좋았어요~,4년
4/5,오래된 모텔같은데 저렴하고 방도 커서 좋았음 욕실도 크고 티비는 최신 ㅎㅎ,3년
4/5,오래되었ㅈㅣ만 깨끗하고 가성비 좋아요 화장실 넓고,4년
3/5,"시설깨끗하고 조용하고 좋은데
시내에서는 멀어요",3년
2/5,청소 관리가 미흡하네요 침대에 머리카락이 너무 많았어요ㅠㅠ,3년
5/5,"주위 경치도좋고 아늑한분위기좋았슴
편안한 휴식 잘지났음",4년
4/5,펜션같은 모텔 깨끗하고 좋아요,5년
1/5,다시는 오고 싶지 않은 곳,3년
3/5,리뷰 없음,1년
3/5,리뷰 없음,2년
4/5,리뷰 없음,3년
4/5,리뷰 없음,3년
5/5,리뷰 없음,5년
1/5,리뷰 없음,7년
4/5,리뷰 없음,7년
1/5,리뷰 없음,8년
