별점,리뷰,날짜
5/5,"진짜사장님 너무친절하세요~ 또다시오고싶은곳이예요 특실502호 이용했는데
침구도 깔끔하고 침대도편해서 진짜푹잤어요
전날은펜션묵었는데..불편해서잠을거의못잤던ㅠ
방도 넓고 창문이 특이하게 미닫이식이였는데 닫아놓으면 암막커튼한것보다 더어두워서 알람안했으면 늦잠잤을듯해요ㅎ
주변 식당이없어서 배민으로 회시켜먹었는데 푸짐하고 싱싱하니 맛나게먹었네요ㅎ
아침엔 로비옆 공동공간에서 컵라면에 내려주신커피까지!!! 퇴실할때까지 기분좋게 나왔습니다^^ 다음에 또방문해도 좋을것같아요",2년
5/5,"생각보다 넓고 청결하고 인테리어도 예쁘고
너무 만족스러운 숙소였어요
중앙시장하고 가깝고 사장님도 너무 친절하고
무엇하나 불편하지 않게 지내다 가요
돈이 안아까웠어요 다음에 또 가게되면
이곳으로해도 괜찮고 부모님 하고가도 괜찮을것 같아요 추천드립니다 ㅎㅎㅎ
잘 쉬다 갑니다 ~~  :)♡",5년
1/5,시설 깨끗하고 좋긴한데 다음날 퇴실할때 12시 전화받고 한시에 나왔는데 추가요금 만원달라더군요.. 사전에 고지라도 좀 해주셨으면  기분안상하고 좋았을텐데 숙박업소 안다녀 보셨냐며 되려 뭐라시길래 살짝 무섭긴 했네요.,5년
5/5,"친절
깨끗
가성비정말 좋습니다.

자차있으시면 서피랑쪽보다 조금 더 이동하셔서 꼭 숙박하시구요
침대가 정사각형으로 특이하고 너무 넓어서 좋아요
이용한 비지니스텔중 방크기가 제일 컷어요
주변에 용연해변로는 꼭 산책해 보시기 바랍니다.",3년
5/5,특실6만원에 너무 잘얻은거같아요 냄새도 하나도 나지않고 침대사이즈는 엄청커서 셋이누워도 될정도.. 주인아줌마 아저씨가 경기도에서 오신분들이랑 더더욱 친철...2틀숙박하고  돈도아깝지않음  참 위생적으로 비누 치약 샤워타올까지 전부 일회용으로 주어져 있어서 대대만족..다음에오면 또재방문하고싶음  중앙시장이랑 동피랑은 차로5분거리   호텔앞에는 참고로 마트가없으니  먹을거 미리 사들고가실길...,6년
4/5,밤늦게 도착했는데 친절하게 맞아주셨고 방 컨디션도 좋았어요. 시트에서 냄새 안나고 화장실도 깔끔하고요. 로비에 미니 컵라면과 과자가 있어 하나씩 가져와 아침에 먹었습니다. 잘 묵고가요. 다음에 또 올게요~,5년
5/5,"친절하신 사장님이 손님들에게 직접 많은 부분에서 배려하여 주심. 라면, 식빵, 계란, 커피 등 조식 또는 야식이 가능하도록 비치하고 계속 채워주심.",1년
5/5,야식조식서비스👍사장님 진짜 인심 좋고 친절합니다. 인테리어는 조금미흡해도 청소깨끗하고 서비스 좋아서 완전추천😀,1년
5/5,"사장님이 정말 친절하시고 숙소또한 깔끔합니다.
통영,거제여행 예정이신분은 되도록 숙소는 통영시외쪽에 숙소 잡기를 추천드립니다.
통영시내는 차가 너무 많기 때문입니다.",5년
1/5,모텔이 오래데 담배냄새가 베어있어 창문안열면 답답해요 ᆢ미세먼지많은날은 열어도답답 안열어도답답하네요 근처편의시설1도업어 택시타고 내려가야해요ᆢ저녁먹고술한잔하기에는거리가 있어요ᆢ,5년
4/5,통영의 초입에 위치...깔끔하고 저렴하게 지내기 좋은곳..출출할때 야식까지 챙겨 먹을수 있다.,2년
5/5,깔끔하고 약간 일본식이랄까. 좋았어요. 1층현관에 간식도 비치되어 있어요,6년
4/5,"통영입구에 교통이 좋은 입지
깔끔한 실내 편안하고 안전한 호텔
좋아요",3년
5/5,"깨끗하고 따뜻하고
친절해서 좋았어요~

통영에 다시오고 싶어지게하네요
감사합니다~~",6년
4/5,"가성비 짱
도로 옆, 그것도 공포의 오르막 코너라인인데다 통영인들의 미친듯한 레이서 기질로 호텔 입출입이 미션임파서블이었으나 전반적으로 만족함
방이 넓은편임!",5년
5/5,"사장님이 아주아주 친절해서, 가족 모두 만족하면서 지냈습니다",1년
4/5,"조용 하면서 편안함를 느낄 수 있었던 것 같습니다...
직원분께서도 친절했습니다...",4년
4/5,그냥그냥.. 모텔보단 좀 나은것같은데 주변에 편의시설이없음,7년
5/5,바다조망은아니지만 나무냄생좋아요,5년
