별점,리뷰,날짜
4/5,아주 깨끗하고 정갈하다. 마치 새집처럼 지내기 좋았다. 다만 목욕타올이 없는게 아쉽다. 그리고 욕조와 구분되는 막이 없어 온통 물바다를 만든게 아쉽다.,6달
3/5,"위치는 매우 만족했습니다. 강구안이나 서호시장까지는 도보권은 아니고 차로 10분 정도 가지만 아주 가까운 편이고, 루지나 유람선 탑승장까지 바로 앞, 그리고 호텔 바로 뒤에 동네 대형마트가 있고 오션뷰 객실에서는 베란다 가득 바다가 정말 코앞이었고, 편의점이나 유명한 다찌 식당이 지척이라 통영 여행 전반적으로 위치는 좋았습니다.

어른2, 아이2이 방문했는데 일반 객실 투숙이 불가능해서 패밀리 스위트에서 묵었는데 요금 대비 방은 지나칠 정도로 넓었어요. 침실이 여러 개 있는 건 아니고 더블베드가 2개였고 거실이 40평대 아파트 거실마냥 크고, 애매한 위치에 작은 싱크대가 있고 화장실이 2개 (세면대 별도, 샤워/욕조 나뉜 구조)였습니다. 작은 인덕션도 있는데 식기류는 없어서 조리는 불가능합니다.

방이 엄청 크고 침구가 깔끔한 건 좋았는데 그 외의 부분은 좀 아쉽습니다. 청결하지 않은 건 아닌데 욕실 청소 상태가 그닥 좋은 편은 아니었고 구석구석 잘 보면 시설 관리가 깔끔한 편은 아니었습니다. 어메니티(수건이나 그 외 비치된 용품들 커피 등)가 전반적인 인상에서 주는 깔끔함 대비 모텔 수준으로 아주 저렴한 것들이라 좀 아쉬웠고, 패밀리 스위트는 크기는 어마무시하게 넓어서 (77제곱 정도?) 편한 건 있는데 테이블에 조명이 없고 천장 조명은 어두침침하고, 가구나 욕실 동선들이 매우 엉망이라 디테일이 많이 부족합니다. 욕실에서의 동선도 엉망이고요. 그럼에도 위치가 좋고 침구가 적당히 깔끔해서 아이 동반 가족이 머무르기엔 그럭저럭 괜찮았습니다.",1년
1/5,"더블베드 제가 묵은 방은 침대 옆에 욕실이 있는데 욕실이 통유리창으로 바로 보임 침대에 누우면 변기가 정면으로 보임. 요즘 러브 호텔도 이러지는 않음.
특히 화장실서 하수구 냄세가 올라와서 머리아플정도 다음날 배타러 가야해서 아이와 셋이서 갔는데 4살아이 추가 요금 지불 하고 이불이나 기타 침구류 제공은 없음
특히 프론트 젊은 여직원 상당히 날카로움 처음부터 누가보면 내가 뭐 혼나는 줄 알정도의 말투로 일관 여행을 많이 다니다보니 친절한거 바라지도 않지만 여긴 뭐 처음부터 싸우자는건지 불쾌함

아이와 통영 기분 좋게갔다가 성질만 났던 기억",11달
1/5,"전망좋으나 시설이나 청결은
모텔 수준도 안됨
바닥도 너무 낡고 티비 다이는 요즘 볼 수도 없는 수준임
직원은 친절한 편임",7달
3/5,"욕실,현관 바닦이 뜨끈뜨끈. 더워요. 겨울엔 좋을듯.
방에서 보는 풍경은 아주 좋아요!
객실상태도 양호합니다.",11달
4/5,"조식 괜찮아요. 숙소 예약시 같이 결제하세요.
(같이 하면 2명에 15000원, 현장에서 따로 하면 1인 10000원)

숙소 깨끗하고 괜찮은데
욕실 바닥이 좀 특이해요. (장판 스타일?)

위치는 그냥 그냥
근처에 다찌집이랑 횟집. 식사 할 수 있는곳 좀 있고
편의점 있어요.",1년
4/5,바다뷰는 건너편의 여객터미널이 보이는 뷰입니다. 탁 트인 바다뷰는 없고요. 객실도 깨끗하고 조식도 나름 괜찮습니다. 비데 없는게 조금 불편했습니다. 직원분들은 친절하시고요,1년
4/5,"객실은 그냥 저렴한것 치고 괜찮아요
다만 첨부사진처럼 옥상에서 야경이 끝내줍니다.
바다전경 방으로 꼭 구매하시고 야경보면서 방에서 술한잔 하면 끝내줍니다.",1년
3/5,"오픈 한지는 3년정도된것같은데.  바다를 볼수있는 뷰는 훌륭한데, 대형 유리문 틈새로 찬바람이 좀 들어와요.
그리고.욕실문의 틈이 많아서  변기의  물을 내리면 객실에서 물내리는 소리가 들리고. 현관 문의  하단 틈이  많아서 다른객실 손님들 지나가는 소리가 들려요. 보통 호텔은  복도에 카페트를 갈아서 발자국  소리를 줄이는데. 이 호텔은 세심한 베려가 없었어요.  또한  바닥에 깔수있는 이불 한체도 서비스로 보통 주시는데. 여기서는 2만원의 비용을 달라더군요.  통영의 1박이  많이 언잖았어요. 끝!",2년
5/5,"호텔뷰 너무 좋아요 호텔이 깨끗하고  조용해요 조식도 맛있고  호텔위치도 바로 근처 동피랑 중앙시장 등이 있어서 좋아요 바로 뒤에는 탑마트도 있더라고요
우리 숙소가 6층이였는데
뷰 끝내줍니다  호텔 강추 합니다  가족들이 숙소선정잘해다고 칭찬하네요",2년
4/5,시설은 깨끗하고 뷰도 좋음. 옥탑에 루프탑이 있다는데..아직 안가봤지만 뷰가 좋을꺼 같음.,1년
4/5,"새로지어 깨끗하고 중앙시장쪽보다 조용하고 쾌적합니다. 방도 넓고 가성비도 훌륭합니다...위치가 주요 관광지의 건너편이라 좀 애매하지만 차 가지고 다니거나 어차피  택시 이용할거라면, 추천합니다.
양쪽지역에 다 있어보고나서 후기 올리니 확실합니다 ~~",4년
4/5,"가성비있고 항구앞이며 해저터널 인근이라 이런저런 통영도심구경에 최적인 위치 룸칸디션도 좋음
추천드림",1년
