별점,리뷰,날짜
4/5,"노후돈된것같지만 깨끗히관리가되는것같아요.
주위에 식당도없는거빼고는
만족스러워요
한겨울 방문은 비추천",4달
4/5,"요트타고 한바퀴 둘러볼수 있어서 좋고 아이와 놀기좋은 수영장을 이용할수 있어 좋습니다.
자전거로 산책하기에도 좋습니다. 다만 아쉬운점은 위치가 너무 안쪽에 있어 다른곳을 가기가 좀 불편하다는겁니다.",9달
5/5,조용하고 수영장이 있고 배 계류장이 바로 앞에 있어서 쉬기 괜찮은 숙소입니다. 통영 바다를 조망할수 있어서 괜찮은 곳입니다.,11달
5/5,"통영 영운리바닷가에 조용하고 깨끗한 리조트
산과 바다와 해안산책길 자전거도로가
잘 갖춰진 관광 휴양리조트
멋진 풍광을 즐기면서 차와 식사를
즐길 수 있는 굿플레이스입니다",1년
5/5,이국적이면서도 초가 지붕으로 된 리조트라 특별한 느낌이었어요ᆢ요트 이용 한산도 바다여행도 할 수 있어 더욱 좋아요ᆢ산책로도 너무 좋아요ᆢ,1년
5/5,"해외리조트같은 아기자기하고 독특한 외관을 갖고있음.
편의점 규모 작고 즐길거리가 리조트 내부에 없는것이 아쉬우나 직원들 매우 친절하고 침실내부 예쁘고 어메니티 갖추고 있으며 바닷가 인접 산책길도 좋음. 커피숍에서 편하게 시간 보낼수 있는것도 장점.",2년
5/5,"멋진 수영장과 객실 그리고 바다.
여름 휴가로 추천합니다. 가을에 가도 좋을 듯",8달
4/5,"비오는날 오션디럭스 기준

장점: 시내와 멀지않은 거리(차로 15분거리), 직원분들 친절함, 3월 수영장 온수였음, 객실이 붙어있으나 날씨때문인지 조용했음, 다찌집이 붙어있음, 자전거 대여 무료, 24시간 편의점 있음, 바다 바로 옆에 붙어있어 좋았음.
불편했던점: 방 안에 의자/테이블 없음, 침대 방수포때문에 바스락거리는소리 심함, 샤워가운 허리띠없음, 어매니티병이 작아서 흔들어도 나오지않음, 냉난방 중앙제어, 객실간 테라스가 완벽히 가려지지않음, 외부 유리창 프라이버시보호가 전혀 안됨, 다찌집 예약 필수(6시반에 예약불가했음), 제일 가까운 가게 갈려면 걸어서 30분걸림, 카카오택시 기사님께 차로 4분거리 호출을 왜잡냐고 한소리 들음.

수영장 중심의 리조트인만큼 조용함을 원한다면 추천하지 않습니다. 하지만 맑고 따뜻할 때 한번 더 가고싶네요.",3년
5/5,"호텔만 보고 예약했습니다.
프론트에서 편의점과 카페(디저트39)도 같이 운영하고 있어서 호캉스로 좋습니다.
다만 주변에 식당도 한곳밖에 없고 시내를 가려면 택시타고 나가야하는데 그럼에도 불구하고 너무 좋은 곳입니다. 저는 뚜벅이라 중앙시장까지 택시를 타고 다녔고 요금은 8000원정도였습니다.
방도 아늑하니 좋고 바닥은 슬리퍼없이 다닐 수 있습니다. 사람들과 서스럼없이 노는 고양이들도 있고 동물친화적인 호텔이라 더 좋았습니다.",3년
5/5,"수영장은 성인 무릎정도깊이이고  생각보다 작앗는데.
그럼에도 불구하고 휴양지느낌 물씬받고 잘쉬다갑니다. 동남아리조트온기분이엇어요ㅋㄱㄱㄱㄱ 불곰횟집은 가격은 비싸지만 너무친절하시고 맛잇엇어요. 주변에 식당이 없어서 먹을거는 미리준비해가세요.  그리고 편의점 24시간이라서 너무좋았습니다.
그리고 해안산책로도 좋네요  호텔에서 자전거 대여(만원)도 있으니 바람쏘고오기 좋아여.
재방문 의사 1000%",3년
5/5,"간만에 통영에서 휴가를 보냈는데 숙소예약이 환상이었다. 온돌스위트에서 숙박하였는데 독채형태로 대문을 통과해 자꾸지가 있고 현관을 통해 내실로 들어가면 한옥느낌의 따스한 공간을 맞이할 수 있다 테라스에서 커피한잔하며 주변 풍경을 구경할 수 있고 거실의 미닫이문을 열고 방으로 들어가면 바닥에서 따스한 기운이 올라오는 온돌 한실이다. 방에 한쪽 미닫이 문을 열고 들어가면 샤워실이고 다시 유리문을 열면 자꾸지가 나오는 구조이다.
방문 시기가 조금 싸늘해 저녁에 자꾸지에서 스파를 즐기고 한실 이불에 누우면 최상의 컨디션으로 잠을 잘 수가 있다. 자꾸지물은 채우는데 2시간정도 소요된다.
아침에 무료 자전거 대여로 해변길 탐방에 갔다오면 사진찌고 해서 약 1시간정도 소요된다

가족 혹은 연인 또 친구들끼리가도 좋은 장소이다. 다음에 가족과 같이 다시 방문할 예정이다.",2년
5/5,리조트 연식이 오래된 것 같은데도 그 특유의 동남아같은 해외 분위기가 가득해서 너무 좋았습니다. 수영장 뷰 방이었는데 밤에 맥주한잔하는 그 분위기가 좋고 하루밤이라도 해외에 있는 기분이어서 신났네요. 리조트 안에 편의점도 규모가 꽤 커서 간식거리 구매하기에도 충분해요!,3년
4/5,사진만큼 예쁘지 않았지만 편안히 머물기 좋았습니다(아마 사진이 위에서 찍어서 더 잘나온듯요)! 요트 타는 곳도 가깝고 내부에 식당이있어서 좋았고 근처에 산책로가 있어서 아침 저녁으로 다니기 매우 좋았습니다! 조식은 픽업해와야한다고 했는데 식당에서 문앞까지 가져다 주셔서 편하게 먹을수 있었습니다 감사합니다!,4년
5/5,살짝 외국 분위기가 나네요! 무엇보다 바다가 너무 가까이에 있어서 좋아요!! 물이 들어올때면 물위에 숙소가 있는 느낌도 들어요! 옆에서 해안을 따라 산책로도 있어서 너무 좋아요! 걸어가는 것보다 자전거를 타고 가는 것을 추천 드립니다. 산책길이 많이 길어요. 호텔에서 유료로 자전거를 대여해 주니 그걸 이용하시면 됩니다!,4년
4/5,"작고 분위기 있는 리조트. 객실은 깨끗하고 좋으나 그외 시설은 꽤 낡았다. 객실들 가운데 공용 온수 수영장이있으나,  각 객실 발코니가 모두 연결돼있어 꽤 민망하다. 수영장이 아자ㅗ 작고 어린이용처럼 수심이 얕다. 불곰횟집은 가격이 비싸지만 통영의 자연산 해산물이라는 점에서 어느정도는 수긍가는 가격오다. 맛집은 결코아니고 서울이었음 하위권.. 뒤편에 해안 산책로가 아주 잘돼있어서 이게 가장 큰 장점. 호텔서 자전거를 대여해 타면된다. 아침조식은 따로 없이 불곰횟집서 식사를 미리예약하면됨. 가장큰 단점은 시내나 근처마트가 아주 멀어서 차없이 가기힘들다. 콜택시불러야한다.",4년
5/5,객실이 참 잘 만들어진거 같구요|편리합니다.|수영장 3개중 1개만 사용하든데 좋구요 딴곳도 오픈 해줬으면 하든데요^^|호텔 이름에도 있지만 마리나가 있어 멋지 요트볼 수 있어 또다른 재미|타고 통영앞바다 둘러볼 수 있어 더욱 매력적인거 같습니다.|외국 리조트인듯 ㅎㅎ 직원분들 모두 친절하시고 좋아요^^|레스토랑이 하나 있는데 전 와규리조또 완전 맛나게 먹었습니다.,6년
5/5,통영에 세번째 여행인데 올때마다  여기에 묵곤한다. 숙소옆의 해안가 산책로도 좋고 리조트가 아름답다. 이번에는 일몰에 요트를 탔는데 추위에도 불구하고 3만원요금이 아깝지 않았다. 저녁에 자쿠지에 뜨거운물을 받아 부부가 같이 반신욕을하며 와인을 한잔하는것도 좋다. 물받는데 1시간30분은 넘게 걸리니 참고하실것.,4년
5/5,"관리 잘된 리조트와 친절한 스테프분들. 요트투어는 필수, 리조트내다찌는 글쎄? 그래도 편함이 우선이면 최고의 선택
24시간 스테프가 계시는 편의점도 있으니 점수는 4.5점",2년
5/5,"통영 미륵산 케이블카와 가까운곳에 있습니다.
특이하게 동남아 휴양지 분위기로 단층으로 리조트가 구성되어 있구
수영장과도 연결이 됩니다.
내부는 한옥느낌으로 나무로 멋지게 되어 있네요.
규모가 작아서 부대시설이 부족하네요.
안에 횟집, 간단한 편의점, 커피숖이 있네요.
실외에 있는 자쿠지는 수압이 약해서 물받는데 시간이 한참 걸리구요.
샤워실도 수압이 약한지 한번씩 물이 끊어지네요. 샤워실에 선반이 하나 있었으면 좋을것 같구요.
침구도 구스가 아니라 솜인듯합니다. 무겁네요.
주변에 간단한 식사를 하여고 해도 멀어서 차나 택시등 이용해야 하구요.
리조트 옆에 자전거길이 금호마리나리조트까지 연결되어 있어 자전거도 타고 전동킥보드도 대여해서 타도 재밋네요.
그리고 자전거길로 조금만 나가면 산으로 올라갈수 있는데 조금만 걸어가면 해바라기전망대가 있습니다. 간단한 산행도 할수있네요.
그리고 요트도 운행하는데 저녁에 석양투어가 예술입니다.
기회가 되면 꼭 추천합니다.",4년
4/5,조용히 한적한 곳에서 묵고 싶다면...선택해도 좋은 숙소. 가까이 해변 산책이나 자전거 라이딩 할 수 있는 곳.(숙소에서 1시간에 1만원으로 자전거 렌트 할 수 있음),3년
5/5,"생각보다 수영장이랑 룸이 작긴하지만 아이들이 놀기에는 딱인거 같아요~ 루지랑 케이블카 같은 관광지랑 가까워서 좋았고, 무엇보다 모든 직원분들이 너무 친절하셔서 기분 좋게 머무르다 갑니다. 자전거타고 산책하는 바닷길도 평생 기억에 남을만큼 예뻤고 요트는 두번 아니 세번 타세요!!",4년
5/5,"옥션으로 가성비좋은 추천장소
이색적인 카페까지 강추",7달
5/5,"모든 분 들 친절하시구 경치가 진짜 좋아요 !
통영시내하고는 좀 떨어져있지만 !!
요트도 탈 수 있고 투명카약or자전거도 대여할수 있었어요
하지만 저는 요트는 못탔어요 기상이 안좋아서
밑에 음식은 조식이에요!
리조트 안에 편의점이 항시 운영되어서 좋았어요
전반적으로 다 만족해요 ~!",6년
4/5,"매주 화요일은 조식을 먹을 수 없다고 하네요..
프론트 직원은 친절했고, 평일이라 그런지.. 조용하게  보내기 좋은 곳인 것 같습니다.
방사이즈는 좁긴 하지만 두 사람이 지내기엔 괜찮은 것같습니다.",5년
5/5,"너무 조용하고 좋아요.
옆에 있는 해안산책로도 너무 좋고,
안에 식당과 편의점도 다 있어서 따로 안사와도 되네요
정말 잘 쉬었다갑니다ㅎ
여름에는 더 좋을것 같네요",5년
