별점,리뷰,날짜
5/5,"연휴 기간동안 여자 친구와 짧은 여행 삼아 해당 지역을 방문하게 되어 숙소 검색을 통해 예약 후 방문하게 되었습니다.
무엇보다 객실 청결 상태가 가장 중요한데 그 부분이 만족스러웠습니다. 꼼꼼하게 위생 관리 하시고 운영하시는 게 느껴져서 편하게 머무를 수 있었습니다^^
직원 분들도 너무 친절하게 응대해 주셔서 여행이 더 행복해졌답니다~!
열심히 관리하시고 운영하시는 만큼 더 번창하셨으면 좋겠고 다른 분들께도 강추 드리는 숙소입니다^^^^",11달
5/5,"통영에 가족들과 여행을 다녔왔습니다
제가 호텔을 예약한 관계로 혹시 시설이 괜찮을까 걱정을 좀했는데요. 호텔 도착해서 10분만에 쓸떼없는 걱정을 했다는 것을 느꼈네요  직원분이 너무도 친철하시고 객실또한 청소상태가 너무 좋았습니다  주위에 먹거리도 많고 구경거리도 많고 간만에 즐거운 여행이 되었던것 같습니다  다음 여행에도 또 찾아뵐께요",11달
5/5,"이순신 공원, 동피랑, 서피랑 등 주변 볼거리가 가까워서 좋았습니다. 특히 사장님이 친절하고 너무 젊어보이셔서 깜짝 놀랐습니다. 아침 조식도 든든하게 잘 먹고 갑니다.
통영 여행 가게 될 기회가 또 생긴다면 꼭 다시 방문하겠습니다",11달
5/5,"통영 헤미쉬 호텔에 출장차 가게 되었는데
주차장에 전기차 충전기가 마련되어 있어서 너무나 좋았습니다
특히 사장님이신지는 모르겠으나 친절하게 주변에 맛집이나 볼거리등을 자세히 설명해 주셔서 저녁식사도 맛있는 집에서 먹을 수 있었습니다. 아침에는 간단하게 조식도 먹을 수 있어서 체크아웃 후에 업무를 보러가는 길이 든든하더라구요",11달
5/5,호텔이 바로 바닷가와 인접해 있어 너무 좋았습니다. 객실도 깨끗했고 특히 직원분께서 너무 친절히 응대해 주셔서 좋은 추억을 만들고 갑니다. 통영에 다시 오게 된다면 또다시 묵고 싶습니다.,11달
5/5,"통영 가족 여행 숙소로 헤미쉬 호텔을 선택 했습니다. 무료로 조식도 주고 객실도 너무 청결했습니다. 와이프도 만족하고, 부모님도 너무 좋아 하셨습니다. 어린이 놀이방도 있어 애들이 너무 좋아 하더라고요. 셀프 빨래방과 스타일러도 있어 여행 시 너무 편리하게 이용 했습니다. 위치도 시내에 있어 이순신 광장, 동파랑, 중앙 시장 다 도보 3-7분 거리여서 이동도 편리 했습니다. 옥상에서는 바다도 보이고 항구까지는 도보 30초 입니다. 다음 통영 이나 거제 여행때도 꼭 이 숙소를 선택할 거 같습니다. 강추 합니다.",11달
5/5,"친구들과 오랜만에 여행으로 헤미쉬호텔에 예약하고 방문하였습니다
직원분들이 친절하여서 너무좋았구요  바다근처 호텔이라 걱정을했는데 걱정할것도없이 시설도 너무깔끔하고 깨끗했어요
수건이나 이불도 청결해서 믿고 사용할수있었어요
통영놀러오시는분들 여기한번 이용해보세요!",11달
5/5,"결혼21주년 여행을 통영헤미쉬호텔에서 1박2일하게되었구요 헤미쉬평이 좋아서 선택했습니다 제가 머물렀던곳은 7층702호프리미엄 엘리베이터에서 내리면 첫번째입니다
우리는 사천케이블카타고 저녁 7시쯤 도착했는데 네비에서는 목적지부근이라고 하는데 제 눈에는 헤미쉬호텔이 눈에 안띄었어요 아마도 영문이 눈에 안들어왔던거 같아요 제나이가 54살 중년여성입니다
어쩔수없이 숙박업소에 전화드려서 못찾겠다고 말씀드렸는데 어느새 남자사장님께서 통화하시면서 마중을 나오셨어요 반갑게 활짝웃어주시면서 주차까지 알아서 해주시고 처음만남부터 감동을 받았습니다
숙소에 들어와서 간단히 짐을풀고 저녁을 먹으러나왔는데 또 사장님께서 친절하게 차를 갖다주시고 암튼 퇴실하는순간까지도 사장님께서 미소를 잊지않으시고 조식드셨나고 물어봐주셔서 감사했습니다^^ 제일중요한애기를 안했네요 방음시설은 적당히 잘되어있어요 잠자리도 편하고 숙면을 취했습니다
2층에 조식준비되어있어요 오전7시~9시까지 그릇에담아 숙소에서 드셔도 괜찮아요
토스트에 발라먹을쨈도 다양하고 컵라면부터 그냥 삶아먹는라면까지 취향대로 먹으라고 사장님께서 최대한 배려를 많이 하셨어요 아이들이랑 오신분들도 시리얼에 우유부터  구운계란  초코파이 음료도 아주 다앙하게 준비되어있어서 모두 만족하실거같아요
저도 아메리카노부터 다양하게 배부르게 잘먹고 퇴실했으니까요
중앙시장이 차로 7분거리에 있고요 무전동 다찌집 유명한데 가까이있어요
다음에 통영에 가게되면 재방문할정도로 편히 잘쉬고 잘먹고 감동받고 왔습니다
남자사장님 고객응대에 너무 의욕적으로 해주셔서 다시한번 감사드립니다
다음에 또 뵙겠습니다~^^",2년
4/5,"중앙시장과 가까운 숙소
주변에 식당과 편의시설이 많음
사장님이 친절한 숙소
조식가능",1년
5/5,"야놀자서 검색ㆍ
동피랑과  중앙시장 ㆍ이순신공원이  가까워 도보로 충분히다닐수 있고 리뷰도 좋아서 선택ㆍ
조식도 가지수가 다양했고 성의있었으며 사장님도 친절하셨어요
방도ᆢ사정에 따라 업그레이드 ᆢ건물옆에 편의점들도 있어 편했고 예약시 전화해서 필요사항을 부탁하면 층수ㆍ위치ㆍ입ㆍ퇴실시간등ᆢ조절해주시네요
이틀예약했으나 하루 더 연장했답니다
만족스러운 깨끗한 호텔이었어요",4년
4/5,"통영여행 가기위해 호텔피어48예약하려했으나
방이없다하여 급검색하구 여기 평이좋아서
선택했는데 방은 좀 작으나 따뜻했구요
욕실은 매우 추워요
샤워하려는데 물이 뜨거워져서 조절하려하니 너무 차가워지구 조절하기 힘들었어요
그거빼면 무난해요
가족들과 즐거운 여행해였어요
입실은4시 퇴실은11시전입니다",3년
4/5,"매우 친절하십니다.  세탁기 건조기 에어드레서까지 구비되어 있어 아이있는 저희에게 너무 좋았어요~
주차장이 좀 좁은걸 제외하면 최고였어요~",4년
5/5,"건물 관리가 잘 되어 있어 깔끔하게 편히 쉴수 있는 모텔이네요..  특히 통영 관광을 하면서 중앙시장, 이순신공원  등이 가까워서 매우 좋다는~~",7년
5/5,여행다니기엔 위치도 좋고 내부도 깨끗한데 사장님도 엄청 친절하시네요,1년
5/5,"깨끗하고 편리한 시설
만족스런 서비스
친절하신 사장님
편리한 위치
뭐하나 빠지는게 없는 숙소",4년
4/5,깔끔하고 친절함. 모든면에서 가성비 좋고 만족스럽지만 주차가 아쉬워서 별이 네개요ㅜㅜ,4년
