별점,리뷰,날짜
2/5,"기대가 큰만큼 실망도…
물론 가격 대비 저렴
1. 침대는 스프링이 그대로 느껴져서 그냥 이불 위에 가져간 여행용 담요를 덮고잠.
2.청소 및 위생 상태는 좋음
3. 비데는 고장나 있었음
4.주차장은 1객실당 1대
5.조식은 그🐓..볶그밥,비어 있음…가격을 생각하며 마음의 위안을..
6.아침에 조식에 대해 문의 드리니 표정이 이 가격에서 더 무엇을 바라냐는 표정임
7.수영장 사진은 없지만 시설은 그냥 작은 목욕탕
수준임
8.주차장과 위치는 좋음",3주
4/5,"욕지도를 가기위해 통영서
1박을 했는데 야자호텔에서
묵었다,주차는 부족하면 발레파킹 해준다,우린 5인가족실을 예약하고 갔는데 2룸3베드,1박 12만원
조식 간단히포함,컵라면과
시리얼 쎈드위치등,
거실에 어린이 놀수있는
미끄럼틀도 있다,
실외수영장도 사용할수 있다, 저렴한 가격대비
훌륭한 호텔 이다,",1년
5/5,따뜻하고 깨끗하고 가성비 좋은 곳,2달
5/5,"편히 잘 묵었어요. 리모델링한건지 깨끗하고 친절하셨어요.
통영도 3단계라 조식은 운영 안하네요.
입실은 3시부터 퇴실은 12시라 나올때 여유있어요. 다만 샤워시 집보다 수압이 살짝 약하지만 샤워할만은 합니다.
주차하고 걸어다닐만한 거리에 맛집도 많아요.",3년
5/5,"통영여행에중 평일이라서 예약없이갔다가 1박을하게된 텔인데 여느호텔 부럽지 않을만큼  정갈하고 깨끗해서 집에서 자는것처럼 꿀잠을 잤어요 ㅡ야간에 근무하시는분께서ㅡ사장님이신진 잘모르겠지만 저녁식사를위한 최고에 다찌집을 소개해주셔서 행복한 저녁식사를 했네요 ㅡ정말 감사드리구요ㅡ잊지않고  찾아가겠습니다ㅡ참!이곳은 조식도 되구요ㅡ옥상에 올라가시면 바다를 보면서 차도 마실수있답니다ㅡ근사하죠?^^
통영여행 계획중이시라면 이곳 추천드립니다",3년
4/5,"펜션형 바다뷰인데 바다가 쪼끔 보이고
방은 전체적으로 깨끗하고 냄새도 거의 없어요...
식기류가 5인이 맞추어져 있지 않고
냉장고가 미니 미니 해서 음식을 넣기엔 힘드네요.",2년
5/5,"정말 이 가격에 이 정도 크기에 이정도 정갈함에 간단한 조식까지 ㅎㄷㄷ 통영 숙소치면 맨 처음나오고 평점 좋길래 큰 생각없이 예약했는데 정말 만족하네요. 주변이 다 모텔같은 호텔들이고, 통영중앙시장까지 걸어다닐수 있습니다. 전기차 충전기도 있고요. 다음번 통영방문 기회 있으면 또 여기에 갈거 같네요. 잘 쉬다갑니다.",4년
5/5,"여기 최고에요
침실 상태 깨끗하고 화장실 수압도 좋아요
근처에 통영항 서호시장 서피랑 동피랑 이순신공원 중앙시장 활어시장 버스터미널 전부 차로 가깝고
이틀이상 묵으면 청소도 해주시고 안에 있을거 다있어요! 주변에 아침6시부터 서호시장가서 해장하시고 일출보는것도 너무 좋고 . 루프탑에 배달이나 포장음식 가져가서 술한잔 하는것도 좋아요.완전 굿입니다",5년
3/5,"깨끗하긴 하지만, 모텔 수준입니다. 가벼운 조식이 무료 포함입니다. 토스트, 계란프라이를 직접  해 먹을 수 있구요. 주스, 바나나도 있어요. 호텔 예약 하이트에서 굳이 조식 포함 요금으로 예약할 필요없습니다",4년
5/5,"사장님ㅠㅠㅠㅠㅠㅠ너무친절하고 젛아요ㅠㅠㅠㅠ
저희 일정때문에 새벽에 짐만 맡기구 가려고 했는데 그냥 체크인 일찍 하게 해주셔서 체력 회복하고 여행했네용!! 다음에 100%방문 의사!!!
진짜 깨끗하고 드라이기 고데기 다 있구요 샴푸 린스 바디워시 바디타워(일회용) 다있구요 깨끗하고
연박했었는데 위생 훌륭합니다 수건같은것도 다시 다 채워주시고 8층엔 루프탑있는데 먹을거나 배달 시켜서 먹어도 되구 7층엔 커피도 있어서 그거 들구 8층 가도 돼용!! 2층엔 아침 조식!! 가볍게 드시기 좋아요
진짜 강추 최만족하고 왔네요",5년
