업소명,주소,전기차 충전
스탠포드 호텔 앤 리조트 통영,경남 통영시 도남로 347,Y
금호 통영 마리나 리조트,경남 통영시 큰발개1길 33 금호통영마리나리조트,Y
통영 한산호텔,경남 통영시 통영해안로 247,N
한산 마리나 리조트,경남 통영시 산양읍 삼칭이해안길 820,Y
포르투나 호텔,경남 통영시 미수해안로 152,Y
하운드호텔 통영항남점,경남 통영시 통영해안로 239,Y
통영 엔쵸비 관광 호텔,경남 통영시 동호로 56,N
호텔 피코,경남 통영시 항남4길 19,N
통영 호텔 헤미쉬,경남 통영시 정동2길 21 헤미쉬 호텔,N
도르가 관광 호스텔,경남 통영시 새터길 74-9,N
클럽 이에스 통영 리조트,경남 통영시 산양읍 척포길 628-113,N
팜 비치 리조트,경남 통영시 도남로 257-45,N
통영 베이콘도호텔,경남 통영시 도남로 257-93 통영베이,Y
통영 그레이 호텔,경남 통영시 동충1길 12-2,Y
바다 52 스파 펜션,경남 통영시 국치1길 52-18 52-30,N
브라운도트호텔 통영항남점,경남 통영시 동충4길 53,N
통영 그란데 호스텔,경남 통영시 진남아랫길 10,N
브릿지 호텔,경남 통영시 용남면 남해안대로 18,N
호텔 본,경남 통영시 광도면 죽림5로 25-53 호텔본,N
통영 별비채 스파펜션,경남 통영시 용남면 장문로 234-17,N
라온 호텔,경남 통영시 정동2길 12 호텔라온,N
통영 호텔 볼,경남 통영시 안개로 26,N
브룩스 호텔 통영,경남 통영시 통영해안로 407,N
카리브 콘도 호텔,경남 통영시 도남로 257-29 카리브콘도호텔,N
통영 어뮤징스토리,경남 통영시 도산면 도산일주로 2031,N
데이지호텔,경남 통영시 광도면 죽림5로 25-55,N
나폴리 호텔,경남 통영시 통영해안로 355,N
통영 더뷰 호스텔,경남 통영시 중앙시장4길 6-27,N
통영 거북선호텔,경남 통영시 미수해안로 72,N
데라무르 호텔,경남 통영시 통영해안로 299 호텔 데라무르,N
통영 달비채 스파 펜션,경남 통영시 용남면 장문로 234-13,N
