별점,리뷰,날짜
3,"관광지? 감안하고 그냥 그래요
가격,, 비싸게 느껴지는데
주차장 없고,
주말에도 한산하긴 한데 서빙하시는 분이 한분이라,,",4달 전
5,통영바다가 잘보이는 통영중앙시장에 위치해 뷰가 좋고 한여름더위를 식혀줄 물회는 밥말아 국물까지 들이키게 만들고 게장정식은 돌솥밥을 게뚜껑에 비비게 만든다.반찬도 정갈하고 돌미역국도 강추!,8달 전
5,"간장정식 넘 맛있게 먹었음. 게장이 진짜 맛있음.
직원들도 친절하고 식당 아주 깨끗.
2층에서 식사했는데 강구안이 한눈에 보이는 뷰가 일품. 연인들끼리 식사하러 가몀 2층 창가로 가세요.

식당 손님에게 제공하는 1만원짜리 요트투어도 넘 재밌었음. 요트 선착장이 거제도쪽에 있어서 시간을 잘 짜야함. (차로 20분 거리)",1년 전
4,"미역국 맛집, 게장 맛집. 깨끗하고 깔끔한 분위기. 사장님 친절함.",9달 전
5,"미역국맛집
맛보면 가족생각에 포장^^",4달 전
4,"솥밥이나오는ㄷㅔ.. 주부라서 알수있는 밥에서 살짝 나는 냄새가 아쉬움.
쌀을 불려서 다시씻고 한밥이 아닌 물에 넣어두고 그대로 한밥맛  쪼꼼아쉽고 15000원 미역국이라고하기엔 반찬이 부실 미역국은 찐하니 개아늠갠전으로 굴미역을시켰는데 굴도크고토실하고 잘먹었어요
불린쌀 한번더 씻고 하싱이좋을듯!!  아침  손님이라 어제준비해둔것 같았어요",1년 전
4,간장게장 맛집이라 들러 맛을 보았습니다! 기존의 밑반찬으로 나오는 게장하고는 맛이 다르네요. 한마리가 25000원이라 약간 당황했네요..,1년 전
2,"홍합미역국 시원하긴했는데 미역이 덜풀어져서 인지 너무 꼬돌꼬돌했음. 푹끓여낸 진국맛이 없었음
일하시는 분들도 열심히하시긴 한데 번잡하기만하고 손발안맞아서 불안해보였음. 밑반찬도 개선필요",3년 전
5,"해물모듬장(소) 먹었구요 45000원입니다.
전복장2개 새우장4개 게장1개(4분등) 소라장 연어4피스 밥, 시레기국, 잡채, 샐러드 등 찬 나옵니다. 각종 해물장은 많이 짜지않아서 좋았구요, 게장은 진짜 굿이였네요. 밥 두공기 뚝딱해치우고 나왔습니다.",4년 전
5,확실히 주인장요리솜히좋은식당,1년 전
1,"아침에 식당 찾다가 ""돌미역국 전문점""이라는 글을보고 기대를안고들어감 ㅎ 들어갔더니 여자사장님인지 뭔지 한분이 주문받으시는데 메뉴판주면서 다짜고짜 저희집은 해물모듬장이랑 게장세트 전문점이라고 꼭시켜야한다는식으로 말하시고는 세트에 국은 미역국인가요 하니까 시락국이라고 만원짜리 미역국추가해서 드세요 ~)~^^ 라고 말하시는데 자리박차고 일어날라다가 참고 그쪽분이 말씀하시는 게장 세트 인당 2만5천원치 둘이해서 미역국한그릇씩먹으러 갔다가 5만원썻습니다요 ㅎㅎ 그아침에 쌩 게장이 잘넘어갈리있겟습니까요 ㅎㅎ 의견제시 못하는손님도있으니 꼭시켜야하는 늬앙스로..  손님이물어보기전까지 그런말하지마세요 통영이미지 당신들이 만드는겁니다요 ㅎㅎ",4년 전
1,가격 비싸고 맛은쓰레기 음식도지저분하고 갬성만챙기세요 차라리 안쪽 건어물시장 밥집이 싸그 훨씬맛있습니다 남자주인 엄 청 불친절 외지인이라고 막대하는듯 정말비추합니다옆에 생선구이집가세요,1년 전
1,"간장게장 1마리에 2만 오천원   근데.맛은 좋았어요..
양만 늘인다면 별 4개ㅡ.ㅡ",3년 전
5,여러 사람이 같이 가서 모둠세트와 양념게장을 먹었어요.   밥도둑이 맞았습니다.,2년 전
5,전체적으로 다 맛잇엇어요,6달 전
5,홍합미역국 너무 맛있습니다~,7달 전
5,깻잎에 싸먹는 물회 최곱니다.,1년 전
1,뭔 미역국이 이리 느끼한 지~? 그리고 왜 자꾸 비싼 메뉴 강요하시오???,2년 전
2,"엄청기다렸다 먹은는데
맛은 그러저럭..",1년 전
4,미역국전문저인데  맛은있어어요  식당은방불케  많았어요,4년 전
5,맛도 게하고 깔끔하네용,4년 전
5,"게장과 밑반찬이 굿!!
사장님 써비스도 굿!!
적극강추",3년 전
5,미역국 최고예요~~,4년 전
5,맛있고 친절했음,1년 전
4,맛있어요,4년 전
4,진국의 맛,1년 전
4,미역국맛집,1년 전
5,간장게장을 먹을 수 있는 멋진 곳 :D 아주마는 매우 친절하고 음식도 맛있습니다 😋 벽화마을을 산책한 후 저녁을 먹기 좋은 곳입니다.,4년 전
5,한국에서의 첫 식사였는데 정말 좋았습니다. 호스트는 매우 친절했고 게를 쪼갤 수 없어서 도와주었습니다. 방문한다면 꼭 여기로 오세요.,1년 전
5,리뷰 없음,7달 전
5,리뷰 없음,1년 전
5,리뷰 없음,8달 전
4,리뷰 없음,10달 전
5,리뷰 없음,11달 전
4,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
3,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,11달 전
4,리뷰 없음,2년 전
5,리뷰 없음,3년 전
3,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,4년 전
4,리뷰 없음,4년 전
