별점,리뷰,날짜
5,"너무유명한곳이고 관광객들이 어마어마하게 오는곳이라 의외로 실망할까봐 걱정하였는데 막상가보니 왜 인기가 많은지 알것같은 집이였습니다. A세트를 시켜보았는데 돈은 조금들어도 확실하게 음식들이 하나하나 잘나오고 회전율이 좋아서 그런지 굴도 괜찮았습니다.
통영여행와서 굴요리를 드시고 싶다하면 추천드립니다. 웨이팅이 엄청 많을걸로 예상이되면 아침겸 점심으로 10시~11시 드시는걸 추천드립니다. 주차는 매장규모에 비해 수용대수가 아주 적으므로 주변 공영주차장 주차를 해야합니다.(주차비 50% 지원 쿠폰 주는것 같았습니다)",4달 전
5,"음식점은 한번만 가고는 리뷰를 잘 안 남겨요 메뉴를 두개는 먹어보고 정말 맛있으면 남기거든요
그런데 대풍관 정말 넘넘 맛있었어요 통영 여행 2주 머무는 동안 거의 매일 갈 것 같아요~~
7살 아이 데리고 갔었는데 같이 나오는 된장찌개가 매울 수도 있다고 메뉴 선정에 도움도 주시고 김도 주시고 숟가락 포크도 챙겨주시는 등 배려가 넘 감사했어요",3달 전
5,굴국밥코스요리 음식 가짓수나 맛이나 만족스러움. 아침 일찍가서 웨이팅 없었지만 점심시간에는 테이블링 예약이나 방문대기 신청 필요.,2달 전
5,"싱싱한 굴, 바삭한 굴전, 마지막 굴 돌솟밥까지 아주ㅜ만족스러운 저녁이었습니다. 2만원의 C 코스로 다른곳에 먹은 다찌보다 더 훌륭한 가성비 훌륭한 식사였습니다.",6달 전
5,"1인분 28000원 A코스 2인 사진
깨끗하고 서빙 직원들도 친절한 식당

3월부터는 모든 굴이 익혀나온다 함.
워낙 굴 좋아해서 굴전, 굴밥 잘 해 먹는데 굴전은 두껍고 다른게 많이 들어가 아쉬운 맛

통영 대표 맛집인지 여러 경로로 추천받았는데 약간 아쉽긴 함",1년 전
5,급하게 맛집을 찾다가 통영엔 굴코스요리를 많이 드시길래 한번먹어보자해서 맛집을 찾다가 가격대비 코스가 맘에드는 B코스를 선택해서 먹어봤다! A코스에는 석화찜이 포함되어있었는데 굳이 석화찜까지는 필요없었고 충분히 먹다보면 굴밥을보게되는순간 헐! 이걸먹을수있을까 싶었다. 주차공간은 매우적어서 건물뒷편에있는 공영주차장을 이용하고 공영주차장이용시 우리는 주차권을 주는지알고 주차요 했다가 천원을받았다🥰 만족! B코스시킬시 생굴을 시작으로 굴무침과 같이나오는데 맛있었고 굴소불고기전골은 굴이랑 소불고기? 라는 의문이 들지않게끔 만족스러웠다!! 굴튀김과 굴전은 말해뭐할까...굴전은 바삭한전은 아니고 퐁신퐁신 두꺼운 전이고 굴전이라기보다는 해물전같은 느낌이 많이드는 전이었다. 굴밥과 된장찌개가 나오는데 된장찌개에 굴은 안들었고 꽃게가 많이들어있었다! 이미 소불고기전골로 국물을 한차례 달린뒤라 해물된장찌개는 가볍게 먹을수밖에 없었다. 1인 25000원이었고 후회없고 싶었는데 후회는 없었다! 배가 터질만큼 먹었고 맛도 평균은 되고 깔끔한분위기라 좋았기 때문이다. 통영방문시 한번쯤은 맛보아도 되지않을까싶다!!!,1년 전
5,"앞 주차장말고 옆에도 6대이상 주차가능합니다. 굴코스가 여러개 있어서 좋았어요.저는 매생이굴국밥 코스였는데 회에 레몬을 짜서 먹으니 신선한 맛이 너무 좋았어요
굴무침은 달지않게 적당하게 상큼한 맛이 좋았고 굴전은 야채와 곁들여 아이도 좋아할맛이고 반쯤 깨물었을때 비릿한 굴향이 나지않아  이집의 내공을 느꼈습니다. 굴튀김도 소스에 찍으니 별미였고 서울서 먹을때보다 매생이가 덜들어간 느낌으로 나왔던 굴국밥도 밥과 먹기 좋은 농도로 좋았습니다
초보자도 먹기에 부담없이 굴향이 제어되어 도전해보셔도 좋을듯 합니다",1년 전
4,"이제까지 다녀본 통영맛집중 최고의 선택이었네요
10웖메뉴는 굴이 메인으로 되어 나온다니 한층 기대가 되어집니다.",7달 전
5,"석화찜이 포함된 A세트를 주문
씨알도 굵어서 맛있었는데.짠맛이 강해서 물에 씻어먹거나 마지막에 나오는 된장찌개에 넣어서 먹음
반찬이며 세트에 포함된 음식 다 맛있었지만
뭐니뭐니 해도 밥이 제일 맛있었음
다음에 방문하면 세트주문 말고 간단하게 밥먹을 수 있는 메뉴로 주문할 것 같음",1년 전
5,"굴 코스요리 ~ 아주 훌륨합니다. 깨끗한 주방을 환하게 보여주며 위생관리 철지히 하시네요.
꼭 한번 들릴만한 맛집인 거 같습니다.

또 왔네요.
봄/여름이라 전복, 멍게, 물회, 갈치가 메인요리입니다.

멍게비빔밥, 전복솥밥 ~~ 각 한개씩 해서 나눠먹기 ^^

어떤 요리든 믿고 올만한 곳.",11달 전
3,"1시간을 기다려 먹을곳은 아닌듯~~
석화굴찜 넘 짜요.
A코스정식 먹었는데 굴무생채랑 생굴 리고 된장찌개만  맛있어요",2년 전
4,C코스로 여러가지 먹을 수 있어서 좋았어요. 찬6가지 나오고 게장도 적당히 짭잘하고 해물파전 매콤 뜨듯하게 나오고 전복솥밥 부드럽네요.성게비빔밥도 👍,8달 전
3,"아는 동생네 놀러가서 하루 묵고 다음날 방문했어요. 주차 공간이 부족해서 근처 공영 주차장에 세우고 좀 걸었어요.
카메라 부분에 지문 자국 때문에 흐리게 나왔네요.
반찬하고 해물된장찌개......건강한 된장찌개... 한 수저 먹고 응..?? 했어요ㅋㅋㅋ시원한 맛도 부족했어서 아쉬웠네요..가성비가....ㅠㅠ
회덮밥은 신랑이 먹었구요. 쏘쏘였어요~",1년 전
5,"손님 모시고 가기에도 좋고 가족모임으로도 좋은 곳.
규모도 크고 주차장도 완비 무엇보다 오픈주방으로 위생이 괜찮았다. 집 근처에 있으면 1주일 1번은 올 집.",3년 전
4,"남산조각공원/디피랑 아래위치하고 있으면서 식객들이 자주 찾는 곳인가보다 주차장도 넓고 뒤에 공영주차장쪽도있다
일층이층으로되어있으며 일층도 넓은 구조임! 굴과 멍개의 조합으로 깔끔하게 차려나온다~~코스엔 멍게비빔과 꼬막비빔밥으로 선택할수있다~아이들도 순두부된장국과 어린이 떡갈비를 주니 맛있게 먹었뉘ㅣ요",3년 전
