별점,리뷰,날짜
5,"맛,서비스,친절함 최고입니다
점심때라 간단하게 멍게비빔밥,회덮밥먹었는데
정말 맛있게 먹었습니다.
검사내전 드라마에 나왔던 그 곳입니다.
전망도 최고입니다.",2년 전
4,"통영대표 횟집 <민수사횟집> 입장 ☺
현지인이 추천하는 횟집이다. 쯔키다시도 괜찮은 곳
몇일전 입장했던 <통영바다이야기>보다 약간 더 비싸지만 추천할만한 곳. 크~ 뷰 끝장임.

경남 통영시 미수해안로 125-5 마이웨이빌딩 5층
영업시간 : 매일 11:00~22:00
☎ : 050-71340-7742",2년 전
4,초장집과 비교를 하며 돈에대해 너무 비싸다 하는 것은 리뷰에 맞지 않을 것 같습니다. 첫문장에 근거하여 리뷰를 하면 일단 뷰가 상당히 좋습니다. 오층에 위치하여 통영 바다가 한눈에 들어옵니다. 그리고 저깉은 경우에 해산물을 즐기는 편은 아닌데 다양한 해산물을 조금씩 여러개를 맛볼 수있어서 좋았습니다. 무엇보다 저는 제일 높게 산게 뷰.... 너무 좋았습니다,7년 전
5,"통영 회타운보다 몇만원비싸지만 비교불가. 정말 맛있고 양도 많습니다. 전망은 써비스.
민수사 특모듬에 5만원추가하면 4명이 실컷 먹고남습니다. 같이간사람들 모두 만족",6년 전
5,"2인상  ~ 👍
잘먹었습니다",1달 전
4,바로 앞에 주차 할 곳이 있어서 했는데 주차비 받는게 좀 그랬습니다. 음식은 너무 맛있었어요 저희 먹는 속도에 맞춰 서비스 해주셨구 양도 많았습니다,4년 전
4,"통영가면 종종 가는곳 입니다
음식은 고급지게 나오고 직원분들 친절합니다
전망도 좋고 대체적으로 만족 입니다",1년 전
5,"오후즘  도착해서 동양의 나폴리 통영 항구가 보이는  여행을 다녀왔습니다
민수사에서는  예쁜 저녁뷰와 맛있고 싱싱한 바다의맛 해산물을 드실 수  있어요",5년 전
1,"회가 별로 신선하지 않았고 홍합탕에서 홍합맛이 하나도 안났고 매운탕도 조금 비렸습니다. 그리고 주문한 음식보다 더 줘놓고 나중에 돈 내라고 하더라구요. 타지역사람인걸 알아서 그랬나, 외부인 차별함.",2년 전
1,"구글 평점도 알바 동원하나?? 별1개도 아까운 쓰레기 식당임 ㅋㅋ 메뉴판 펼치니까 모듬회 제일 싼게 10만원ㅋㅋㅋ맛있고 양 많으면 10만원도 안아깝지. 시키니까 회 서른 점도 안나왔다.(사진찍어논거 정확히 세봄. 밑에 사진이 10만원짜리 ㅋㅋ)
내 인생에서 먹어본 회 중 제일 창렬. 안경낀 덩치 큰 여자 직원은 우리가 매운탕 주문한거 지가 까먹어놓고선 15분 뒤에 우리보고 ""아까 매운탕 주문할때 밥은 안시키셨는데 식사 어떻게 할까요?"" 이럼ㅋㅋㅋ 평점 3.5점 넘는게 말이 안된다.",6년 전
5,"너무 좋아요^^  계속~~쭉~나오는 음식은 먹는다고  사진을 못 찍었네요~
첫번째  사진은 250.000원.두번째 사진은 150.000원.어른5명 중3 초6 두딸과
울엄마 생신때~",5년 전
2,120000원 2인상 금액에 비해 음식의 종류와 맛은 그다지 좋치않았습니다.음식에 정성이 담기길 바랍니다.,4년 전
5,회가 신선하고 해산물이 맛있다. 많은 연예인들이 다녀간 이름있는 곳이다. 재방문의사 있다,2년 전
5,"대구에서 손님 오셔서 모시고 간 곳입니다
5층이라 밖으로 보이는 분위기는 좋습니다
이모님들 친절하시고
회도 투둠하고 쫄깃하게 맛있었어요!
여러가지 음식들이 나와서 배부르게 먹었습니다",4년 전
5,싱싱한 회는 두말할 것 없고 푸짐하고 친절해요~^^,3년 전
5,"혼자 갔는데도 물회 1인분 해주셨어요
맛있었고 반찬도 더 챙겨주셨습니다.
바닷가 전망도 참 좋아요",3년 전
5,횟집 다녀본곳중 손에꼽을정도로 맛있었습니다 ㅎㅎ 원래 리뷰 잘 안남기는 성격인데 직원분들도 친절하시고 음식도 깔끔해 잘먹고갑니다 ~,2년 전
5,도톰하니 신선한회와 여러가지스끼로 푸짐한 대접받고온 느낌입니다.,4달 전
