별점,리뷰,날짜
3,"가리비 바지락 홍합이 들었으니 맛이 없을수는 없다..
하지만 바지락 해감이 잘 안되어서 바지락 먹다가 흙을 먹을수도 있다.
그땐 재수 없었구나 하자..",3달 전
5,부산에서 특짬뽕 먹으러 통영에 가고 싶을 만큼 특짬뽕 맛있습니다. 신선한 해물이 한가득 들어있고 속이 뻥 뚫리는 매콤한 맛이 감기에 좋을 듯 합니다. ㅎ,4달 전
5,"와 여행 왔다가 내 인생 짬뽕집 찾음 ;;
아니 무슨 짬뽕이 3만원이나 해? 했는데 싼거였음
근데 너무 많아서 그냥 일반 짬뽕 시켜서 각자 먹는게 좋을 듯
해물 미쳤고 매운거 좋아하는 나린이는 맵기 단계가 있어서 짱좋았음 👍
캡사이신 매운맛 아니고 진짜 맛있는 매운맛
통영가면 또 갈거임.. ㅠㅠ",5달 전
3,"굉장히 신선한 해물들을 기대했으나 오징어가 대왕오징어인거 같았고 백짬뽕은 살짝 비린맛도 있었습니다.
너무 기대를 해서인지 저는 별로였습니다.",1달 전
4,"일요일 아점 이었고, 앞에 20팀 정도가 있어서 30~40분 정도 기다렸던 것 같습니다.
미리 메뉴를 고르라고 해서 특 해물짬뽕을 적었는데, 막상 식사하러 입장하니 품절이라 안 된다네요., . 왜 기다린건지..
해물짬뽕도 국물맛은 같다고 해서 해물짬뽕과 하얀짬뽕, 탕수육 小자 시켰습니다.
가격(10,000원)에 비하면 양은 푸짐한 편이나 절대 줄 서서 먹을 맛은 아니었다고 봅니다.
특 해물짬뽕이 해물이 푸짐하대서 기다렸던거지, 흔한 해물짬뽕을 먹기위해 줄을 선 것은 아녔는데 미리 얘기해주지 않은 점이 너무 아쉬웠습니다.
탕수육은 고기도 두툼하고, 튀김옷도 쫄깃하니 맛있었고 하얀짬뽕은 국물은 흰색이지만 고추가 많이 들어 매콤하니 애들 있으신 분들은 참고 하셔야 할듯요.",1년 전
4,"재료의  신선도, 끈임없이 들어오는 손님들 음식도 빨리 나오고 종업원들의 서비스도 상냥하고 좋네요",3달 전
4,"통영 여행 겸 해장 겸 다녀왔습니다.

가격:10,000

만족스러웠습니다. 요즘 어딜 가든 이 가격에 싱싱한 해물이 들어간 짬뽕 먹기 힘들어요.
육수는 해물이 들어간 느낌보다는 고기 쪽 느낌이 강했고요. 육안으로 보이는 해물 때문에 해물맛을 생각하시면 조금 곤란합니다.

맵기 단계를 조절할 수 있는데요. 국물이 좀 느끼한 맛이라 2단계 추천해요. 신라면 보다 조금 더 매운정도?
면이 다른 집보다는 가는 편이라 먹기도 좋았네요.

탕수육은 미니로 시켰습니다. 가격 대비 양도 좋았고요. 튀김옷 안에 고기가 꽉 차 있었습니다. 담백하고 고소한 느낌의 스타일 입니다. 좋았습미다^^",11달 전
4,"탕수육 바삭바삭 함이 아직도 느껴져요
짬뽕은 얼큰하고 탁 치는 매운맛이 좋았음
평일 오픈하고 20분후쯤 갔는데 손님 많았음 앉아서
음식 나오기전에 만석
주방이 뚫려있고 손님도 많다보니 내부가 많이 더웠음
재방문 의사 있음",9달 전
5,"정말 해물 듬뿍 짬뽕 이었습니다.
탕수육도 정말 고기 가득 맛있어요
단 손님이 많다 보니 직원들의 실수도 있는데..
말씀을 안해주셔서 50만원짜리 잠바를 양념 쏟아 버리게 되었네요.
그때 말씀해 주셨으면 좋았을걸
실수는 인정해도 거짓은 인정할 수가..",1달 전
1,"실망했던 해물짬뽕..
해물이 많아보이게 홍합만 넣어 부피 불리고 가리비도 껍질두개 넣고... 오징어는 대패로 썬것처럼 썰은것 조금.... 그러니 시원한 맛이 안나네요.
그 근방 현지인들이 많이 가는곳 짬뽕이 해물이 더 많고 시원하고 값도 싸고...
입맛이 다르지만 ... 왜 유명한지???",1년 전
2,"비오는 월요일 오전 11시, 내부는 이미 만석. 메뉴판에는 몇 가지 짬뽕 외에 탕수육, 볶음밥, 칠리새우가 있다. 기본찬은 단무지, 깍두기, 달달한 양파장아찌.

큼직한 그릇에 담겨 나온 하얀짬뽕, 9천 5백원. 흰 그릇에 하얀국물로 말끔한 외모. 푸짐한 양, 많이 두껍지도 얇지도 않은 두께의 면은 찰기도 보통 정도. 꽃게, 대왕 오징어, 담치, 새우, 부추, 애호박, 배추, 고추 등 식재료도 넉넉히 들었다.

매운거 좋아하는 김아내는 신라면보다 매운맛이라는 2단계가 부족한 듯. 역시 식재료 양 푸짐하게 든 해물짬뽕. 잘 먹고 갑니다.",2년 전
4,엄청 매운 짬뽕 맛집! 1단계가 신라면수준 2단계는 불닭볶음면정도 ! 맵지만 맛나요,1년 전
2,"화요일은 정기휴무..
시원하고 칼칼한 짬뽕.
1단계 순한맛, 2단계 신라면 정도, 3단계 맵다.
짬뽕, 미니탕수육, 짜장면 이렇게 시키면 좋다",1년 전
3,"매운 짬뽕. 1단계 안매움, 2단계 신라면 보다 좀더 매움. 3단계 상당하 매움.
해산물가득.양이 꽤나 많음
맛은 그냥 그냥 괜찮았음.

가게는 깨끗함

5점 : 굳이 찾아가서 볼만한곳
4점 : 이왕 근처라면 우선 가볼만한 곳
3점 : 가고싶은곳이 딱히 없다면 가볼만한 곳
2점 : 딱히갈데도없고 허기져 갈만한 곳
1점 : 절대 재방문 안할 곳",1년 전
5,"일행이 예약했다고 해서 갔습니다
tv 어디 어디 나왔다고 하는데 그건 잘 모르겠고
해산물이 꽤 들어가 있고 맛있게 먹었습니다.
웨이팅 있을 수 있으니 생각하고 가셔야 됩니다.
1단계도 조금 매콤한 느낌이 있습니다.
2단계는 신라면 보다 조금 맵다는데 비슷한 것 같고요.
3단계는 안먹어봐서 모르겠네요.
주차는 통영항 여객선 터미널 주차장 이용하는게 마음 편할 것 같긴 해요. 1시간 무료인데 오버해도 얼마안해요.",11달 전
5,"제가 다녀본 짬뽕집 중에 손에 꼽히네요
다만 주차는 인근 터미널 공영주차장을 이용해야합니다",8달 전
5,해물특은 양이 정말 많아요. 맵기는 2단계했는데 신라면정도인듯...기왕 온거 특으로다가 드세요. 양이 많아 탕수육을 못시켜 아쉽..볶음밥보다는 짜장 추천합니다.,2년 전
4,회사다니면서 알게된 맛있어서 좋아하는 집이라 데이트로 간건데.. 짜장면에서 수세미 나와서 다신 안갈 것 같습니다..,11달 전
5,"친절함, 맛있음, 양 넉넉함
어마어마한 양의 해물짬뽕(2인)
등심 탕수육 정말 맛있음, 고기 알참.",1년 전
4,"점심에 갔었다
절대 점심에 가는 것은 비추이다
왜냐면 너무 사람이 많아서 복잡하다
정신이 하나도 없다 그러니 점심에 가는 것은 비추한다
하얀 짬뽕을 먹었었는데
그럭저럭 괜찮았다
그치만 진한것 같진않아서
다음에 간다면 다른 걸 먹어봐야 겠다고 생각했다
주차할 공간이 없어 주차를 다른 곳에 하고 오는 것을 추천한다
시장이랑 붙어 있어서 그런가 시장을 가로 질러 쭉 가면 볼 수 있다
그냥 식당에 대놓고 티비에 나왔다고 안내가 되어 있어 쉽게 찾을 수 있을 것이다",5달 전
5,주차빼고 다 좋은집이네요,5달 전
4,"통영에서유명한 짬뽕집이라고해서 방문
짬뽕과탕수육둘다맛있었지만
흔히들아는짬뽕맛집의맛
오픈런해도대기가필수인것같고
음식이빨리나오지는않는편
회전율은빠름 그래서인지 정신이좀없음
시끌시끌
서빙해주시는분들은반찬떨어지면
알아서더필요한지물어보시고친절하신편",5달 전
