별점,리뷰,날짜
5,"시래기국의 방언 시락국
통영 사람들은 아침부터 부지런한듯 하네요
서호시장 분주한 에너지에 기받고 갑니다

경상도에서만 맛볼수 있는 시락국맛
보드랍게 호로록 넘어가는 국과
갖가지 반찬들을 셀프로 퍼먹는 재미난 시스템

외국인들이 이런 찐바이브를 봐야
이것이 한국이다 라고 느낄수 있지 않을까 싶은
참 편안하게 한끼 해결하고 갑니다",1달 전
4,"그냥 싼 백반집이라고 해야할듯.
반찬이 좌석앞에 쫙 깔려있고 알아서 덜어 먹으면됨.
밥과 시래기국은 사장님이 퍼주심.
크게 맛있는 반찬도 없고 그렇게 맛없는 반찬도 없다.",3달 전
3,이른아침 빠르게 시락국에 밥한끼 먹기 좋다.,2주 전
3,음  서호시장에있어요  맛은 괜차나요  위생은 좀그래요  시장인걸 감안하면 괜차나요  한번쯤은 갈만해요,6달 전
5,"점심으로 뭘 먹을까 고민하다 선택한 맛집. 내부에 시장아주머니들이 많으시길래 맛없진 않을꺼라 생각하고 주변 여러 시락국집중 여기로 들어갔어요.

시락국은 생각보다 진하고 깊은 맛은 없지만 반찬이 거의 30가지로 원하는 만큼 선택해 집어 먹을 수 있는게 다양한 반찬 곁들여 먹기 좋아하는 사람에게 정말 좋을 것 같은 식당이었어요.

시락국도 오래되고 방송까지 나온 식당이다 보니 맛에 실망할 일은 없구요. 다만 엄청 맛있을꺼라 기대는 안하시길 바랍니다. 근데, msg를 안쓰고 이 맛을 낸 거면 아주 훌륭한 맛이라고 생각해요!

주인 아주머니 아저씨도 친절하시고 두리번 거리고 있으니 오랜 서비스 경력으로 눈치바로 채시고는 필요한 거 있는지 여쭤봐주시는 센스가 👍

7,000원에 아주 만족하게 식사한 식당이었습니다.",1년 전
5,"공깃밥과 시락국(시래기국)만 주시고 반찬은 알아서 덜어 먹으면 된다. 갓 잡은 장어 머리만으로 육수를 낸다고 함.

반찬 종류가 꽤 다양하다. 부추와 조미김, 고추 등 넣고. 밥 말아서 후루룩. 숙취 해소되는 구수하고 시원한 국밥.",2년 전
3,시락국을 먹었습니다. 반찬은 부페처럼 먹고싶은것을 개인 그릇에 담아 셀프로 먹는곳입니다. 반찬의 내용은 어른들이 좋아할 음식이네요. 한번쯤은 궁금해서 방문할 만한 곳입니다. 사장님이 친절하게 대해 주셔서 좋았답니다. 주변에 시락국집이 있지만 대부분 오후 3시가 되면 영업을 종료하지만 이집은 6시까지도 한다고 하네요.,1년 전
5,"경남 통영시 중앙시장 안쪽에 위치하고 시장 상인들의 성지인 저렴하게  맛나게 부패식 식당을 리뷰합니다.
주메뉴는 시락국 경상도 북부지방에서는 무우 잎을 말려서  무청 씨레기라고 합니다. 씨레기는 재래된장 하고
끌여서 겨울철 맛나게 먹은 기억이 또렷합니다. 옛날것은  시간이 지나면서추억속으로 사라지곤 하지만 원조 시락국 같은 전통있는집은 가난한 시절옛생각을 생각하면 떠올리고 싶지는 않치만 어려운 시절 향수를 생각해서 통영 원조시락국집은 우리모두가 많이 찾아 이용해주었으면 합니다.
맛집으로 강력히 추천합니다.",2년 전
4,"<원조시락국>에서 시락국밥... 통영에서는 시래기국을 시락국이라고 부른다네요... 통영에 있는 시락국집의 특징은 반찬을 뷔페식으로 제공한다는 것이다... 게다가 그 가짓수가 어마무시하다... 국밥집이라기보다 백반집이 더 적합할 것 같다... 그런데 가격은 아주 착한 단돈 6천원... 먹지않을 이유가 없다...^^ 단, 서호시장 주변 밥집은 새벽에 일찍 시작해서 오후 3, 4시면 영업을 종료하니 주의하시라... 저도 겨우 마지막 손님으로 먹고 왔슴다...ㅎ",4년 전
5,"유서 깊으면서 값도 싼 곳, 그런데 음식맛은 평범..

4년 만에 다시 찾았는데 깜짝 놀랬다.
맛은 좋아지고 서비스도 향상되었다.
특히 반찬들 다 맛있다. 감동이다.",1년 전
