별점,리뷰,날짜
5,"음식도 맛있고 주변 경관도 좋았음. 요리는 이태리사람으로 보이는 셰프가 하는것 같음. 마르게리타 피자는 그동안 먹어왔는 피자와 다르게 정말 얇고 치즈가 풍성한게 이태리 정통 피자의 맛을 보여줬음.(이태리 가본적은 없지만 느낌상) 파스타도 맛있게 먹었음. 다만 파스타면이 약간 딱딱하게 느껴졌음. 피자, 파스타 모두 만족스럽게 먹었고 식사후 산책하기에도 너무 좋은 장소 였음. 통영 가면 또 가고 싶은 식당임.",4년 전
5,"아래에 피자가 보통이라는 분이 계셔서 루콜라 마르게리타와 볼로네제 파스타를 시켰는데, 둘 다 맛있었지만 피자가 깜짝 놀랄 정도로 맛있었어요. 씬 피자를 그렇게 맛있게 먹어본 적이 별로 없었던 것 같은데 루콜라의 픙미도 좋았지만 치즈가 정말 맛있었구요. 피자는 정말 바삭했어요. 통영에 갈 일이 있으면 꼭 다시 들르고 싶습니다.",5년 전
3,피자는 그냥 그렇지만 먹물 파스타는 개맛있다  특히 감자 존맛탱,6년 전
4,"피자 파스타 모두 맛있음. 특히, 메인 아이템 전에 주는 식전빵과 발사믹 올리브 오일이 최고수준임. 상당히 고급진 자리치고 저렴한 편임. 단, 저녁에 가면 재료가 모자라 안 되는 메뉴가 있음. 신선한 재료만 써서 그런걸까?",6년 전
2,"리뷰,블로그 보고 먹으러갔는데 메뉴가 바뀌어있더라구요. 메뉴가 자주바뀌는듯해요.
피자는 보통이고 파스타는 깔끔하네요.
식전빵이나 스프 등등 재료는 신선했습니다.
하지만 서빙해주는 긴머리여성분이 일하기 싫은지  불친절하고 접시 불쾌하게 놓고 운동화신으셨던데 구두신은지 착각할정도로 발소리 정말크게내고 밥먹는데 너무 신경쓰였어요. 좋은풍경마저 보이지 않더라고요. 다시가보는건 고민좀해봐야겠네요.",6년 전
3,7시에 다른 음식점들이 문을 닫아 선택의 여지없이 가게됐어요. 유자 마르게리따가 좀 특별했어요. 풍경이 절반인데  그나마 밤에 가면 안 보여요.,7년 전
1,"Greeting, Taste, Flavor, Service  무엇하나 좋지 않다. 사람 기분을 나쁘게 하는 곳.

독점과 알쓸신잡 광고 효과에 장사는 잘 되나 추천하고 싶진 않다",6년 전
4,양갈비 스테이크가 엄청 맛있다. 한 접시 더 시켜먹음.,4년 전
4,분위기. 뷰. 맛.,7년 전
5,분위기  뷰 좋아요,7년 전
5,"멋진 전망과 친절한 직원, 그리고 맛있는 이탈리안 요리를 통영에서 만나보실 수 있습니다.",7년 전
5,이탈리안 셰프가 독창적인 재료로 조리한 훌륭한 이탈리안 요리를 매우 합리적인 가격에 제공,10년 전
5,정말 놀라운 곳입니다! 전망도 좋고 음식도 맛있고 편안해요 :),5년 전
4,"'현지'인 것에 지쳤다면, 이것은 좋은 선택이 될 것입니다.",7년 전
4,엄청나게 아름다운 곳!,6년 전
5,리뷰 없음,9년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,6년 전
5,리뷰 없음,7년 전
5,리뷰 없음,7년 전
