별점,리뷰,날짜
2,풍화김밥 맛있어요.사이드로  인당 각각주시는  시래기국  좋아합니다.사장님 친절하세요^^,8달 전
2,"특별할게 없는 충무김밥...그리고 통영.1,2호점이있습니다.
바로옆에 붙어있어서 찾기는 쉽습니다.
주위에 주차를 하기가 어렵습니다. 능력껏 비어있는곳 또는
주차장을 찾아가셔야 합니다.
일호점에는 조선족아줌마...이호점에는 베트남아줌마가
일하시는것같아요.
오징어무침보다 오뎅이 더 많습니다.
깍두기는 닷맛이 있어 맛있네요...일인분 오천원.
기름장을 같이 주는데 찍어먹으니 색다른맛이 납니다
같이 나오는 된장국에 새우들어간 것 같은데 깔끔한 맛이 있습니다.
양이 꽤 많습니다.
특별한 맛은 아니니 기대는 안하시고 가시는것이 좋습니다.
거가대교 가시기 전에 간단히 식사하기 적당합니다.",6년 전
5,"충무김밥의 매력에 푹 빠진 곳... 통영의 충무김밥 3대장이라면 뚱보할매김밥, 한일김밥 그리고 여기 풍화김밥이라 할 수 있는데 내 입맛에는 여기가 최고였다. 따끈한 김밥을 살짝 기름장에 찍어 아삭한 무김치와 오징어어묵 볶음과 함께 입에 넣으면 정말 꿀맛이다.",8년 전
5,추천보고 갔는데 맛나서 또 가려고 합니다. 바로 앞에 선착장 있어서 포장도 많이 하시더라구요. 스티로폼 포장으로 멋지게 해 줌.,3년 전
4,충무김밥 맛이 이런건지 다른건 안먹어봐서 모르겠지만 자극적이지도 않고 든든하게 잘 먹었음. 택시기사님이 현지인추천 맛집이라고해서 간거! 깍두기가 감자탕집 깍두기 같았음 맛잏,4년 전
5,분위기는 그냥 식당.오징어도 많이 넣어주시고 여행지정보도 주시고 가족들 델고 꼭 다시 갈거여요,1년 전
2,"동남아 아가씨가 대충싸주는 손맛
참기름과 식용유를 1대9로 섞은듯한 기름장맛
한명이서 가서 2인분 먹으니 턱이 아픕니다...
김밥 김이 너무 질겨요 ㅠㅠㅠ
예전만 못하네요 실망스럽습니다...",5년 전
4,"주변 김밥집에 비교 하면 가성비 좋은 집으로 봅니다
시락국도 주고
석박지도 맛있는 편입니다
가격은 오늘 가보니 5000원
포장은 2인분부터입니다
고용되서 판매하는분들은 다문화 가정분들이네요
통영 충무김밥집들이 자꾸 비싸지는 가격과 밥양이 적어지는데 이점은 모든집들이 비슷하네요",4년 전
3,"값은 올랐는데 예전에 주던 계란후라이는 없어지고, 오징어는 찾아보기 힘듬. 그래도 기름장이 특이하고 된장국은 맛있음. 명동에서 먹는 충무김밥 보다는 훨 나음.",6년 전
2,"통영이 아니여도 어디에서나 맛 볼 수 있는 맛.
굳이 찾아갈 필요도 없고 참기름을 찍어먹는것만
좀 신선했네요. 비추.",8년 전
4,"주문은 2인분부터 가능하고, 1호점과 2호점이 거의 인접해있다. 맛은 별거 아닌데 맛있는, 아는 그 맛. 아직 한국말이 서툰 직원분이 포장해주셨다. 통영 온 기분 낼 때는 그래도 충무김밥만한 게 없지 않나 하는 생각이다.",4년 전
3,"통영 현지인 맛집 풍화김밥

통영 여객선 터미널 앞
통영 충무김밥 맛집~
현지인이 추천하는 현지인의
추억이 서린 충무김밥집.",7년 전
2,"예전에 맛있게먹었던 기억에 다시찾았죠.
그때 1호점은 어머니, 2호점은 아드님이 하신다고 들은거같은데 지금은 외국인 직원분들이 계시더라구요.
그래서 그런걸까요.
오징어에서 나온 머리카락, 국에서 나온
이상한 이물질들..
다신 안가려구요. 김밥집 많고 맛은 다 비슷한데 경쟁력을 가지시려면 친절과 청결 아닐까요?",4년 전
4,"너무나 올라버린 가격이 무섭지만
그냥 김에 밥, 김치지만
이 맛을 아는사람이라면 꼭 먹게되는 충무김밥.
고소하고 매콤한 오징어김치도 맛있다.
충무김밥원조라며 너도나도 간판을 걸지만
글쎄, 어릴적부터 자주 갔던
모퉁이 원조집과 풍화김밥.
코너김밥은 오래전 주인이 바뀐후로 풍화만 간다.
김밥은 욕지도로 가는 배 위에서 먹는게 꿀 맛.",6년 전
5,"추천)충무김밥을 드시려면 여기에서 드세요~
(1호점)
김밥을 기름장에 찍어 먹으면 간도맞고
된장국 짜지않고 맛있고
오징어오뎅무침도,  석박지도 시원하니
모든음식이 맛깔났어요
참고로 낮에는 베트남직원?  저녁에는 주인사장님이 나오시는듯 합니다",5년 전
