별점,리뷰,날짜
4,시장내에 있는 맛집음식점. 평범한 시장분위기에 맛은 추천입니다. 시장이라 가성비 좋아요,8달 전
5,복국이 시원해요. 조미료 느낌 없으면서도 개운한 맛 ... 반찬도 정갈하고요. 아침해장으로는 최고네요~,1년 전
4,서호시장 상인분 추천으로 간 식당인데. 복국 조미료맛 없이 순수 지리탕으로 시원해요. 단연 추천합니다.,3년 전
5,"It was wonderful breakfast experience indeed.
참으로 훌륭한 아침식사를 즐긴 한여름 날에 시~원한 맛이었습니다 !!!",2년 전
4,"통영에 가면 아침식사를 하는 식당,
오랜 연륜에 따른 맛과 반찬들,
포근한 가정집 아침식사분위기,
시원한 복국.",4년 전
5,"복어가 좀 작긴하지만 너무 맛있었어요.
해장 최고",3년 전
3,영화를 보고 찾아가는게 아니라면 썩 추천하지는 않숩니둥.,5년 전
2,"아귀수육이 가장 비싼메뉴중에 하나였고, 가장 오래된 식당이래서 왔는데, 살점이 하나도 없는 껍데기+아귀애가 있는 수육이 나왔네요, 적지않은 가격인데 통영의 스타일을 잘 모르고 선택했나봅니다",1년 전
4,"어제 다찌에서 술마시고 아침일찍
시장골목에 있는 호동식당~~~
복국을 처음 먹어봤는데..ㅎㅎㅎ
정말 시원했어요
술드신 다음날 해장하긴 굿!!!!
그렇다고 멀리서 일부러 찾아갈 정도는 아님😅",3년 전
5,"졸복탕을 먹었습니다. 보이는 재료는 졸복, 미나리, 콩나물 단 3가지뿐인데 담백하고 시원한 맛이 아주 훌륭합니다. 같이 시킨 멸치회도 감칠맛이 도는게 맛있습니다.",6년 전
5,"졸복? 일반적인 복보다 크기부터 작은 손가락 크기의 통통한  복이 미나리와 콩나물과 어우러져 뚝배기에 한 그릇 담겨 나온다.
먹는 내내 시원한 맛에 '커' 소리가 절로 나오는 담백함을 느낄 수 있디ㅡ.",5년 전
4,"진한 돼지국밥을 맛있게 먹었네요..
소고기국밥에서는 구수함보다 소 육향이 진해서..
남자들은 괜찮지만 예민한 여자분들은 조금 어려운 음식..
주차도 어렵네요..",2년 전
2,"곱창 전골이 먹고싶어갔으나 저에게는 그닥 별로인
전골이였어요. 배가고파 많이먹었으나 김치나 순대에 의지해 먹었네요",3년 전
5,복국을 주로 찾고 조금 칼칼시원한 맛을 원하면 복매운탕입니다. 실은 실제 별미는 아구수육이죠.,3년 전
4,"통영에서 복국집으로는 선두주자이고
대를이어 항상 변함없는 맛과 전통을 이어서 잘유지하는 꼭추천하고싶은집!",7년 전
3,국물은 깔끔 하지만 조금 비린맛을 안좋아하신다면 비추천입니다 그리고 바닷가라그런지는 몰라도 조금 자극적인 맛이라 속이 안좋았던 저는 개인적으로 안좋았어요;;,5년 전
1,가격에 놀라고 맛에 놀람...진짜 가격좀 내립시다.뭐만한 졸복 6마리가 1만 2천원이나 하요?그러다가 토박이도 떠납니다.여기뿐 아니라 전부다 그렇습니다.,6년 전
5,복국이 이런 맛이구나 하는걸 처음 알게 해 준 곳,6년 전
5,숙취해소엔 그만이네요,5년 전
5,아침과 점심식사만 파는 식당이예요 쫄복탕이 시원하고 맛나요,3년 전
5,일단 국물 너무 시원하고 반찬 많이 나오고 맛있습니다 국물은 제가 아는한 가장 시원한 국물이라 해장하기 좋습니다,6년 전
5,국물이 시원하다는 진정한 느낌을 알고싶다면 여기로 가시면 됩니다.,5년 전
4,시원하게 잘 먹었습니다,2년 전
5,통영에서 먹어본 복국중에 정말 국이 시원하고  맛있어요,6년 전
5,냉동이 아닌 싱싱한 복어로 조리한 백탕은 가히 일품입니다.,5년 전
4,"시원한 졸복탕이 좋았습니다
아침에 해장으로 제격입니다.",3년 전
5,100년 식당의 명성에 걸맞는 깊은 맛. 깨끗한 맛이다.,4년 전
4,"20150310 아침 방문
졸복국에 식초를 부어
속을 푼다
밑반찬은 멸치회무침 꼴뚜기젓갈 파래 남해섬초",7년 전
1,완전 별루임니다 밑반찬 정말 먹을게 없네요 완전 실망 다시 갈일 전혀 없음,4년 전
5,프렌차이즈 복집으로 생각하고 기대없이 갔으나 개운한 국물맛 일품!,4년 전
3,지리먹었는디  엄청작은  복어가 여러마리...,2년 전
4,복국이 시원하고 깔끔합니다,1년 전
5,"생아구에 참 맛
접시바닥까지 싹싹 ㅎ",5년 전
3,예전엔 참 맛집이었는데 맛이 좀 변했다...,4년 전
3,무난한 복집 멀리서 찾아갈 정도까지는 아닙니다..,5년 전
5,헐 귀염 귀염 졸복 탕,6년 전
3,복국의 국물은 시원합니다.,5년 전
5,"통영에서 제법 오래된 맛집
졸복 매운탕   맛집   추천~",3년 전
5,"깔끔하게,상차림.맛이 정말 좋습니다.",6년 전
1,소문이나 생각보다 가격대비 실망실망~,6년 전
4,깔끔한 복국의 맛. 꾸밈없는 맛 그 자체,6년 전
5,졸복의 쫄깃함을 맛볼수 있는식당 ~^^,6년 전
4,복국 넘 맛나게 먹었어요,6년 전
5,통영 복국집으로 수십년 명성,5년 전
4,시원하고 깔끔하고 개운한 맛입니다.,4년 전
5,복국강추,5년 전
4,맛 좋았어요 ^^,5년 전
4,복지리/생아구..ㅎㅎ굿~,12년 전
4,복국해장이 끝내준다.,8년 전
4,졸복국 시원하게 먹을만함,7년 전
5,아구국이  더 맛 있음,7년 전
5,아구수육 맛납니다,6년 전
5,국밥이 맛잇습니다,7년 전
5,시원~합니다,5년 전
5,맛있고 친절함,4년 전
5,통영의 진정한 토속맛집,4년 전
2,보탱이네요,4년 전
4,그럭저럭  무난한  가게,3년 전
5,전통,5년 전
4,깔끔하고 시원한 맛,4년 전
4,시원한 복국,6년 전
5,아 맛나다...,5년 전
5,최고복국,6년 전
3,먹을만,3년 전
4,"아침 일찍부터 하고 있었으므로, 아침 식사에 편리.
복어보다 앵무새가 맛있었습니다.",3달 전
4,아주 좋은 복어 스튜. 홍상수 감독의 영화 '하하하'(2010)에서도 이 식당을 찾을 수 있다.,5년 전
4,제공되는 주차장은 없습니다. 작은 레스토랑. Banchans는 훌륭합니다. 수프는 훌륭합니다.,6년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
3,리뷰 없음,6달 전
5,리뷰 없음,2년 전
3,리뷰 없음,2년 전
3,리뷰 없음,3달 전
5,리뷰 없음,2년 전
3,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
2,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,4년 전
4,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
1,리뷰 없음,4년 전
4,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
2,리뷰 없음,5년 전
2,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
