별점,리뷰,날짜
3,"통영 전통(?) 백반집이랄까. 시레기국에 자율배식 반찬집입니다. 가격도 저렴하고 국맛이 매우 훌륭합니다. 해장에 아주 좋습니다. 조금 매콤하니 아이들은 덜 맵게해주세요 하면 맵지않게 따로 내어주십니다. 다만 아쉬운건, 전에는 식당 구조가  테이블 가운데로 반찬류가 있어 이를 자유롭게 덜어먹는 방식이 보는맛, 먹는맛이 있었는데 리뉴얼하셔서 평범한 식당구조가 된것이 아쉽습니다. 정말 특이한 구조와 방식이 재미있었는데 아쉽습니다. 하지만 여전히 국과 반찬(오징어, 진미채, 계란말이 추천)은 여전히 매우 맛있습니다. 꼭 방문하시기를 추천합니다.",7달 전
4,"통영에서 아침식사 또는 아점을 하기 좋은 뷔페식 식당이다.  다양한 반찬을 매일 새벽부터 준비하신다고 하는데, 인근 직장인부터 관광객까지 다양한 사람들이 줄을 선다.
식사가 끝나면 요구르트에 땅콩캬라멜까지 주신다.",2년 전
4,숙소가 서호시장근처였고 아침을 해결해야했기에 근처맛집중 초이스된 훈이시락국! 지도를 켜고갔는데도 나는 지나쳐서 지나가고 동생이 어여기다! 해서 들어갈수있었다ㅎㅎ 가게안은 넓지는 않았고 청결과 향에 예민하신분이면 조용히 패스하셔도될듯!무엇보다 반찬이 원하는만큼 담아서 먹을수있었는데 석박지랑 오징어채가 나의원픽! 석박지는 시락국하고도 잘맞아서 먹기 편안했다. 시락국에서 산초향이 처음에 나기때문에 호불호가 완전심할것같았고 반찬이랑 밥을먹느라 개인적으로는 국을 한입뜨기도 전에 배가불렀다! 아무래도 요즘물가가 너무오르고 있는데 반찬을 먹을만큼 퍼서 먹어야하는데 남기시는분을 보고 속상해하시는 모습도 보이시고해서 먹을만큼만 담아서 드시길! 고기반찬이아니라 콩고기이니 고기인줄 알고펐다가 남기지도 않으셨음좋겠다! 한그릇에 7000원이라는 착한금액에 밥먹기 쉽지않은데 저렴히 배부르게 먹을수있었고 나오는길에 챙겨주시는 요구르트와 땅콩캬라멜이 졍겨웠다! 😂,1년 전
5,"인생 시락국이네요 ㅋ 시락국은 시래기국의 사투리래요 ㅎ 허영만선생님도 오셨다가셨고 김수미선생님도 오셨다가셨네요  ㅎ
장어 머리로 국물을 냈다고 하는데 진국이에요 ㅎ 반찬도 많고 아주 굳굳 ㅎ 하루시작이 좋네요 ㅋ",1년 전
5,"저의 지인이라면 꼭 알려주고 싶은 곳입니다.
충무김밥,꿀빵 등 추천음식이 많지만, 통영에 오신다면
훈이시락국은 꼭 드셔보고 가셔야 해요.
통영의 대표 음식이라고 할 수도 있고요 서호시장 맛집이거든요.
▶ 경남 통영시 새터길 42-7
▶ 연중무휴 AM 07:00 - PM 18:00
▶ 메뉴  따로국밥[5.000], 말아국밥[4.500]
▶ 현금결제 ( 카드 X ) 미리 참고하시고 가세요
주차는  여객선터미널 또는 통영 출장소 근처에 하시고 가시는게 좋아요.훈이시락국이 골목쪽에 있거든요.
저는 저희 가족과 멀리서 온 지인들과 함께 먹으러 갔어요.
일찍갔는데도 사람들이 많아서 15분정도 기다렸다가 들어가서 먹었어요.
구조가 신기했어요. 따로 테이블이 정해져있는게 아니라 사각으로 되어 있는데 자리가 마주 보고 먹을 수 있게 되어있더라고요.
반찬은 뷔페처럼 원하는 만큼 덜어먹을수 있게 되어 있어요( 앞접시를 따로 줍니다) 저는 반찬(12가지? 훨씬 넘어보였어요)들이 맛있어 보여서 따로국밥을 시켜서 먹었어요.
덤으로 막걸리도 같이 먹었네요 달걀말이 김치 등 너무 맛있어요.
주방 이모들 말고 홀에 계시는 이모님께서 수시로 반찬 채워주시고 중간중간마다 반찬통 바꾸시고 닦아주시고 ( 청결해서 좋았어요 )
국밥에는 부추 고추 등 들어있고요 잘 저어주세요(밑에 양념있어요)
다 먹고 나서  계산하고 나니 사장님께서 카라멜사탕이랑 요구르트 챙겨주셨어요  오랜만에 카라멜사탕을 보았던지라..사진도 못찍고 그냥 다 먹어버렸네요 ..
SNS에서 뻔히 올라오는 그냥 맛집보다 100배 좋아요.
가성비도 좋고요 인심도 맛도 이렇게 길게.. 리뷰를 쓰다니..꼭 추천합니다.
조금이나마 도움이 되셨으면 해요.",5년 전
5,"반찬이 27종류였나 되게 많고 조금씩 다 먹어봤는데 정말 맛있었습니다 7천원에 메뉴는 시락국 하나
괜히 유명한게 아니구나 싶은 그런 맛집
8시쯤 갔는데 5분정도 기다렸었네요
일찍 문닫기도 하고 아침에 먹으면 맛있으니
꼭 아침에 방문하시길",1년 전
3,"음식 맛이 참 애매한곳.
정성을 다 하셔서 매일 매일 27가지(몇가지 겹치기는 하는듯)반찬을 준비 해 두시고.
나름 내가 좋아하는 다찌 자리에 완벽한 노포 분위기.
음식맛을 빼고는 모두 만족 한곳.
서비스는 평가 할 필요가 없을 정도로 계산 할때까지 주인장이나 종업원 만날일이 없음.
정말 아쉬운점은 내가 지금껏 먹어본 시래기국이 아니였음.
산초가 호불호가 많이 나뉘는데...
산초를 별도로 넣게도 준비 해 주시지만
끓이시면서 산초와 이것저것 미리 넣어서 주시다 보니 나처럼 산초 싫어 하는 사람은 먹는것이 편안 하진 않았음.
산초를 넣지 말고 내어 주셨으면 좋겠음.
일부 반찬들도 차갑게 식어서 굳으니 본연의 맛과 정성을 느끼기가 힘들어지는 것이 아쉬움.
산초 때문에 다음 에는 다른집으로 갈듯함.
산초에 거부감 없는분들은 강추.
가성비도 정말 좋음.",1년 전
5,"반찬은 총 12가지 이상인데 맛있습니다.
한식뷔페 느낌 으로,국은 장어탕 이라는데 전 갠적으로 산쵸가루나 방아잎을 못먹어 조금 밍밍한거빼고 좋았슴다.
현금 결제하며ㆍ 요구르트랑 땅콩 카라멜 줘요",3년 전
5,시락국 맛있어서 한그릇 뚜닥! 반찬도 종류 여러가지로 골라서 먹을 수 있어요. 알아서 떠서 먹으면 됩니다! 배부르게 제대로된 한끼 먹고 싶으시면 추천! 가격도 착하고 메뉴는 두가지입니다.♡♡,7년 전
5,"통영의 대표적인 노포식당 입니다.
미디어에도 몇 번 노출이 된 곳입니다.
시래기 국과 뷔페식으로 차려진 반찬이 나오는 곳으로 반찬의 간이 조금은 센 편입니다.
반찬이 다 소진이 되면 문을 조금 빨리 닫기도 합니다.
통영을 방문 한다면 한 번 쯤는 방문해 보는 것을 추천 합니다.",2년 전
