관광지명,주소
스탠포드 호텔앤리조트 통영,통영시 도남로 347
2월호텔 통영죽림점,통영시 광도면 죽림5로 25-28
금호 통영 마리나 리조트,통영시 도남로 33
한산마리나호텔&리조트,통영시 산양읍 삼칭이길 123
통영비즈니스호텔,통영시 통영해안로 575
호텔 헤미쉬,통영시 무전동
IN모텔,경상남도 통영시 광도면 죽림해안로 118-15
윤스호텔(엔터모텔),경상남도 통영시 산양읍 산양중앙로 321
호텔야자 통영여객터미널점,경상남도 통영시 동충2길 9
오투모텔,경상남도 통영시 안개2길 7
사이존호텔,경상남도 통영시 미수해안로 152
샤르망모텔,경상남도 통영시 안개2길 53
더밤 모텔,경상남도 통영시 통영해안로 239
버킹검모텔,경상남도 통영시 정동2길 12
모텔신라,경상남도 통영시 동충4길 51
유퀸 모텔,경상남도 통영시 통영해안로 285
일성모텔,경상남도 통영시 동충3길 10
더샵모텔,경상남도 통영시 광도면 죽림5로 37
아이비모텔,경상남도 통영시 광도면 죽림5로 25-55
베스트모텔,경상남도 통영시 광도면 죽림해안로 94
브라운도트 모텔,경상남도 통영시 동충4길 53
라베르 모텔,경상남도 통영시 도남로 257-21
시그레이호텔,경상남도 통영시 동충1길 12-2
포르투나호텔,경상남도 통영시 미수해안로 152
