관광지명,주소
부일식당 통영,경상남도 통영시 서호시장길 45 (서호동)
굴향토집,경상남도 통영시 무전5길 37-41 (무전동)
오월 통영,경상남도 통영시 데메3길 64-12 (도남동) 2층
동광식당,경상남도 통영시 통영해안로 343-1 (중앙동)
강변다찌,경상남도 통영시 항남1길 19 (항남동)
삼문당 통영,경상남도 통영시 중앙로 168 (태평동)
옛날충무꼬지김밥,경상남도 통영시 새터길 53 (서호동)
명촌식당,경상남도 통영시 통영해안로 237 (항남동)
한일김밥,경상남도 통영시 통영해안로 319 (항남동)
한려곰장어,경상남도 통영시 정동4길 57 (정량동)
대추나무,경상남도 통영시 항남1길 15-7 (항남동) 미성실비
터미널회식당,경상남도 통영시 동충4길 7 (항남동)
울산다찌,경상남도 통영시 미수해안로 157 (봉평동)
도남식당,경상남도 통영시 도남로 272 (도남동)
원조밀물식당,경상남도 통영시 중앙시장1길 8-42 (중앙동)
수향,경상남도 통영시 항남3길 29 (항남동)
해원횟집,경상남도 통영시 미수해안로 125-5 (미수동) 마이웨이빌딩 2층
산양식당,경상남도 통영시 강구안길 29 (중앙동) 해피하우스
거구장갈비집,경상남도 통영시 동충2길 22-3 (항남동)
토담실비,경상남도 통영시 무전8길 14-12 (무전동) 주영에이스빌 3차 상가 1층
벅수다찌,경상남도 통영시 동충2길 41-5 (항남동)
거북선꿀빵,경상남도 통영시 통영해안로 351 (동호동)
원조3대할매김밥 통영본점 ,경상남도 통영시 통영해안로 327 (중앙동)
만성복집,경상남도 통영시 새터길 12-13 (서호동)
오늘도바다해,경상남도 통영시 항남1길 37 (항남동)
한산섬식당,경상남도 통영시 정동4길 58 (정량동)
영빈관,경상남도 통영시 도남로 274 (도남동)
야소주반,경상남도 통영시 산양읍 금평길 42-23
향남뚝배기,경상남도 통영시 무전3길 32 (무전동)
플레이볼인통영,경상남도 통영시 미수해안로 104 (미수동) 1층
뚱보할매김밥집,경상남도 통영시 통영해안로 325 (중앙동)
통영해물가,경상남도 통영시 통영해안로 377 (동호동)
남옥식당,경상남도 통영시 통영해안로 221 (서호동)
오미사꿀빵 본점,경상남도 통영시 충렬로 14-18 (항남동)
통영한산회식당,경상남도 통영시 강구안길 28 (중앙동)
미륵미륵,경상남도 통영시 해송정4길 37 (동호동) 미륵미륵빌딩 1층
지저트,경상남도 통영시 봉수로 69-1 (봉평동) 광우맨션 103호
통영 서울식당,경상남도 통영시 통영해안로 279-6 (항남동)
통영식당,경상남도 통영시 통영해안로 213 (서호동)
마노아,경상남도 통영시 용남면 장문로 192
참나무장작구이통닭,경상남도 통영시 광도면 죽림2로 86-36
미주뚝배기,경상남도 통영시 통영해안로 227-2 (서호동)
장방식당,경상남도 통영시 서송정3길 4 (봉평동)
멍게가,경상남도 통영시 동충4길 25 (항남동)
백본등뼈찜 본점,경상남도 통영시 광도면 죽림4로 19-24
송도호해초밥상,경상남도 통영시 서호시장길 45 (서호동) 1층
희락회맛집,경상남도 통영시 용남면 화포3길 95 1층
용화찜,경상남도 통영시 봉수로 76 (봉평동)
항남우짜,경상남도 통영시 동충4길 15 (항남동)
하원황칠오리 통영점,경상남도 통영시 무전8길 33 로운빌딩 101호
송이복국,경상남도 통영시 통영해안로 221 (서호동)
해옥,경상남도 통영시 항남5길 15-3 (항남동)
거북당꿀빵 본점,경상남도 통영시 통영해안로 368 (동호동) 남현빌딩
소문난 3대할매김밥 2호점,경상남도 통영시 통영해안로 229 (서호동)
새풍화식당,경상남도 통영시 원문로 47-1 (북신동)
소백산베스트포크 본점,경상남도 통영시 광도면 죽림2로 76-47
나나의주전자,경상남도 통영시 용남면 연기길 269
회운정,경상남도 통영시 동충2길 39 (항남동)
어촌싱싱회해물탕,경상남도 통영시 도천상가안길 18 (도천동) 동원나폴리빌상가 116호
삼수갑산,경상남도 통영시 안개로 19 (무전동)
야간열차,경상남도 통영시 안개로 19 (무전동)
민속촌,경상남도 통영시 충렬안길 18 (항남동)
오미사꿀빵 도남점,경상남도 통영시 도남로 110 (봉평동)
정숙이네한상,경상남도 통영시 동충4길 45 (항남동) 항남동복합빌딩
