관광지명,주소
스탠포드 호텔앤리조트 통영,통영시 도남로 347
2월호텔 통영죽림점,통영시 광도면 죽림5로 25-28
금호리조트 통영마리나,통영시 도남로 33
한산마리나호텔&리조트,통영시 산양읍 삼칭이길 123
비지니스호텔 통영,통영시 통영해안로 575
헤미쉬호텔,통영시 무전동
IN모텔 통영,경상남도 통영시 광도면 죽림해안로 118-15
윤스호텔,경상남도 통영시 산양읍 산양중앙로 321
호텔야자 통영여객터미널점,경상남도 통영시 동충2길 9
오투 통영,경상남도 통영시 안개2길 7
포르투나호텔,경상남도 통영시 미수해안로 152
샤르망모텔 통영,경상남도 통영시 안개2길 53
하운드호텔 통영향남점,경상남도 통영시 통영해안로 239
버킹검모텔 통영,경상남도 통영시 정동2길 12
모텔신라 통영,경상남도 통영시 동충4길 51
퀸모텔 통영,경상남도 통영시 통영해안로 285
일성모텔,경상남도 통영시 동충3길 10
더샵모텔 통영,경상남도 통영시 광도면 죽림5로 37
데이지호텔,경상남도 통영시 광도면 죽림5로 25-55
베스트모텔 통영,경상남도 통영시 광도면 죽림해안로 94
브라운도트호텔 통영항남점 ,경상남도 통영시 동충4길 53
라베르관광호텔,경상남도 통영시 도남로 257-21
그레이호텔 통영,경상남도 통영시 동충1길 12-2
포르투나호텔,경상남도 통영시 미수해안로 152
