statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
통일교 화조원,ACAC0001,경기도 가평군 설악면 미사리로270번길 30,주차장,,24시간 이용가능,37.5300525,126.926228,AC,아우토크립트,아우토크립트,02-2125-4075,4,50.0,단독,0,1,1.0,0.0,2025-05-15 05:33:10,2025-05-11 14:05:37,2025-05-11 14:42:52,,41,41820,G0,G004,N,,N,관계자만 이용 가능,N,,N,2023,경기도
구미HW(Test),ACAC0002,경상북도 구미시 산동읍 첨단기업로 102,대영채비 공장,,24시간 이용가능,36.142021,128.448893,AC,아우토크립트,아우토크립트,02-2125-4075,4,100.0,단독,0,2,1.0,0.0,2025-01-17 13:30:00,,,,47,47190,G0,G004,N,,N,관계자만 이용가능,N,,N,2024,경상북도
삼성HW(Test),ACAC0003,광주광역시 서구 내방로 111,광주광역시청,,24시간 이용가능,35.15999,126.8513,AC,아우토크립트,아우토크립트,062-120,4,100.0,단독,0,2,1.0,0.0,2025-05-13 14:53:10,2025-02-12 12:35:37,2025-04-29 14:18:31,,29,29140,G0,G004,N,,N,관계자만이용가능,N,,N,2025,광주광역시
궁동공영주차장,ACAC0004,광주광역시 동구 제봉로 153-4,,,24시간 이용가능,35.15095,126.91934,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-12 00:20:00,2025-05-09 03:09:16,2025-05-09 03:59:53,,29,29110,G0,G004,N,,N,,N,,Y,2025,광주광역시
동명동 푸른길 부근 공영주차장,ACAC0005,광주광역시 동구 동명동 35-6,,,24시간 이용가능,35.14948,126.92809,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-07 10:00:00,2025-05-07 00:50:55,2025-05-07 00:58:40,,29,29110,G0,G004,N,,N,,N,,Y,2025,광주광역시
설월여고 부근 공영주차장,ACAC0006,광주광역시 동구 천변좌로604번안길 7,,,24시간 이용가능,35.12771,126.92814,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-15 13:30:00,2025-05-15 02:58:18,2025-05-15 04:19:13,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
용강 공영주차장,ACAC0007,광주광역시 동구 화산로337번길 1 (용산동),,,24시간 이용가능,35.11939,126.93075,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-13 19:40:00,2025-05-13 10:04:56,2025-05-13 10:34:46,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
푸른마을공동체 앞 공영주차장,ACAC0008,광주광역시 동구 동명동 181-5,,,24시간 이용가능,35.15267,126.92559,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-14 19:10:01,2025-05-14 09:09:35,2025-05-14 09:57:27,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
풋살경기장 주변 공영주차장,ACAC0009,광주광역시 동구 소태동 372-1,,,24시간 이용가능,35.12095,126.93904,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-15 09:20:01,2025-05-15 00:10:21,2025-05-15 00:14:29,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
녹동경로당 주변 공영주차장,ACAC0010,광주광역시 동구 월남동 267-1,,,24시간 이용가능,35.10578,126.93403,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-13 11:30:02,2025-05-13 01:02:22,2025-05-13 02:22:54,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
자주봉 등산로 주변 공영주차장,ACAC0011,광주광역시 동구 소태동 1114,,,24시간 이용가능,35.11742,126.94554,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-14 12:00:03,2025-05-14 01:57:41,2025-05-14 02:17:23,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
소태동 진양아파트 옆 공영주차장,ACAC0012,광주광역시 동구 소태동 723-19,,,24시간 이용가능,35.12965,126.93495,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-15 14:33:46,2025-05-15 05:02:55,2025-05-15 05:33:47,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
화산마을 공영주차장,ACAC0013,광주광역시 동구 용산동 405,,,24시간 이용가능,35.11572,126.92177,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-11 19:18:24,2025-05-11 10:05:42,2025-05-11 10:18:22,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
삼태경로당 부근 공영주차장,ACAC0014,광주광역시 동구 소태동 304,,,24시간 이용가능,35.12136,126.93645,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-11 01:40:02,2025-05-05 05:02:21,2025-05-05 05:33:37,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
지한유치원 옆 공영주차장,ACAC0015,광주광역시 동구 내남동 305,,,24시간 이용가능,35.09432,126.93871,AC,아우토크립트,아우토크립트,1577-8498,4,100.0,단독,2,2,0.0,1.0,2025-05-13 19:00:04,2025-05-13 09:06:40,2025-05-13 09:41:34,,29,29110,G0,G004,Y,,N,,N,,Y,2025,광주광역시
하남 제이디타워,AH000005,경기도 하남시 감일로 140,제이디타워,"2층, 4층",24시간 이용가능,37.5120032,127.1547268,AH,아하,아하(주),15441229,4,"100.0,200.0",동시,4,4,0.0,1.0,2025-05-15 12:36:18,2025-05-15 11:51:11,2025-05-15 12:36:18,,41,41450,B0,B004,Y,,N,,N,,N,2024,경기도
음성군 시우주차타워,AH000011,충청북도 음성군 맹동면 두레1안길 17,,,24시간 이용가능,36.912746265,127.54732238,AH,아하,아하(주),15440878,2,14.0,단독,2,2,0.0,1.0,2025-05-15 14:06:28,2025-05-15 12:51:19,2025-05-15 14:06:28,,43,43770,G0,G004,Y,,N,,N,,N,2024,충청북도
충북 오뚜기 대풍공장,AH000012,충청북도 음성군 대소면 대풍산단로 128,오뚜기 대풍 공장,,24시간 이용가능,36.966667406,127.46426183,AH,아하,아하(주),15440878,2,7.0,단독,3,3,0.0,1.0,2025-05-15 12:06:15,2025-05-15 08:20:42,2025-05-15 12:06:15,,43,43770,G0,G004,Y,,N,,N,,N,2024,충청북도
광주 808타워,AH000013,광주광역시 서구 풍암1로21번길 7,5층,5층,24시간 이용가능,35.125626463,126.87881801,AH,아하,아하(주),15441229,2,14.0,동시,2,2,0.0,1.0,2025-04-30 08:33:46,2025-01-17 18:52:00,2025-02-15 11:55:56,,29,29140,B0,B001,Y,,N,,N,,N,2024,광주광역시
부산 반여3동 중앙공영주차장,AH000016,부산광역시 해운대구 재반로 264,,,24시간 이용가능,35.200384,129.1318321,AH,아하,아하(주),15441229,"2,4","50.0,7.0","단독,동시",17,17,0.0,1.0,2025-05-15 09:35:50,2025-05-15 05:05:25,2025-05-15 09:35:50,,26,26350,A0,A004,Y,,N,시설상황에 따라 이용이 제한될수 있음,N,,N,2024,부산광역시
부산 한국산업단지공단,AH000017,부산광역시 강서구 녹산산단321로 24-8,,,24시간 이용가능,35.090465163,128.85320253,AH,아하,아하(주),15441229,4,50.0,동시,4,4,0.0,1.0,2025-05-14 12:49:14,2025-05-14 11:34:11,2025-05-14 12:49:14,,26,26440,A0,A003,Y,,N,,N,,N,2024,부산광역시
